Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1742247543387,6C1DEBA3FFAC,-59,-2,-18,18,6C1DEBA09949,13312
1742247543390,6C1DEBA3FFAC,-70,-2,-18,2,6C1DEBA09949,13313
1742247543393,6C1DEBA3FFAC,-54,-2,-18,20,6C1DEBA09949,13314
1742247543395,6C1DEBA3FFAC,-55,-2,-18,20,6C1DEBA09949,13315
1742247543398,6C1DEBA3FFAC,-54,-2,-18,27,6C1DEBA09949,13316
1742247543400,6C1DEBA3FFAC,-53,-2,-18,22,6C1DEBA09949,13317
1742247543403,6C1DEBA3FFAC,-54,-2,-18,27,6C1DEBA09949,13318
1742247543432,6C1DEBA3FFAC,-55,-2,-18,24,6C1DEBA09949,13319
1742247543434,6C1DEBA3FFAC,-55,-2,-18,24,6C1DEBA09949,13320
1742247543437,6C1DEBA3FFAC,-54,-3,-18,23,6C1DEBA09949,13321
1742247543439,6C1DEBA3FFAC,-56,-3,-18,19,6C1DEBA09949,13322
1742247543442,6C1DEBA3FFAC,-67,-3,-18,17,6C1DEBA09949,13323
1742247543444,6C1DEBA3FFAC,-67,-3,-18,8,6C1DEBA09949,13324
1742247543447,6C1DEBA3FFAC,-52,-3,-18,33,6C1DEBA09949,13325
1742247543470,6C1DEBA3FFAC,-56,-2,-18,35,6C1DEBA09949,13326
1742247543475,6C1DEBA3FFAC,-66,-2,-18,2,6C1DEBA09949,15606
1742247543477,6C1DEBA3FFAC,-55,-2,-18,28,6C1DEBA09949,15607
1742247543501,6C1DEBA3FFAC,-52,-2,-18,33,6C1DEBA09949,15608
1742247543557,6C1DEBA3FFAC,-57,-2,-18,26,6C1DEBA09949,15609
1742247543604,6C1DEBA3FFAC,-53,-2,-18,32,6C1DEBA09949,15610
1742247543652,6C1DEBA3FFAC,-55,-2,-18,20,6C1DEBA09949,15611
1742247543708,6C1DEBA3FFAC,-55,-2,-18,28,6C1DEBA09949,15612
1742247543754,6C1DEBA3FFAC,-70,-2,-18,8,6C1DEBA09949,15613
1742247543803,6C1DEBA3FFAC,-59,-2,-18,36,6C1DEBA09949,15614
1742247543859,6C1DEBA3FFAC,-57,-2,-18,24,6C1DEBA09949,15615
1742247543905,6C1DEBA3FFAC,-57,-2,-18,25,6C1DEBA09949,15616
1742247543953,6C1DEBA3FFAC,-52,-2,-18,33,6C1DEBA09949,15617
1742247544008,6C1DEBA3FFAC,-63,-2,-18,14,6C1DEBA09949,15618
1742247544055,6C1DEBA3FFAC,-65,-2,-18,7,6C1DEBA09949,15619
1742247544103,6C1DEBA3FFAC,-66,-2,-18,1,6C1DEBA09949,15620
1742247544158,6C1DEBA3FFAC,-70,-2,-18,4,6C1DEBA09949,15621
1742247544204,6C1DEBA3FFAC,-55,-2,-18,21,6C1DEBA09949,15622
1742247544253,6C1DEBA3FFAC,-66,-3,-19,15,6C1DEBA09949,15623
1742247544308,6C1DEBA3FFAC,-58,-3,-19,19,6C1DEBA09949,15624
1742247544354,6C1DEBA3FFAC,-53,-2,-18,30,6C1DEBA09949,15625
1742247544413,6C1DEBA3FFAC,-57,-2,-18,13,6C1DEBA09949,15626
1742247544457,6C1DEBA3FFAC,-57,-2,-18,24,6C1DEBA09949,15627
1742247544504,6C1DEBA3FFAC,-70,-2,-19,3,6C1DEBA09949,15628
1742247544553,6C1DEBA3FFAC,-59,-2,-18,12,6C1DEBA09949,15629
1742247544608,6C1DEBA3FFAC,-57,-2,-18,26,6C1DEBA09949,15630
1742247544655,6C1DEBA3FFAC,-58,-2,-18,13,6C1DEBA09949,15631
