Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1742250203129,6C1DEBA3FFAC,-62,-15,-7,27,CCF9579B236F,2277
1742250203129,6C1DEBA3FFAC,-59,-15,-9,29,CCF9579B236F,2278
1742250203130,6C1DEBA3FFAC,-63,-16,-9,25,CCF9579B236F,2279
1742250203130,6C1DEBA3FFAC,-63,-15,-9,26,CCF9579B236F,2280
1742250203131,6C1DEBA3FFAC,-62,-15,-10,28,CCF9579B236F,2281
1742250203131,6C1DEBA3FFAC,-60,-15,-11,8,CCF9579B236F,2282
1742250203131,6C1DEBA3FFAC,-62,-15,-10,16,CCF9579B236F,2284
1742250203173,6C1DEBA3FFAC,-62,-16,-8,24,CCF9579B236F,2285
1742250203173,6C1DEBA3FFAC,-62,-19,-4,22,CCF9579B236F,2286
1742250203173,6C1DEBA3FFAC,-62,-19,-5,10,CCF9579B236F,2287
1742250203174,6C1DEBA3FFAC,-57,-19,-6,32,CCF9579B236F,2288
1742250203174,6C1DEBA3FFAC,-62,-18,-7,28,CCF9579B236F,2289
1742250203175,6C1DEBA3FFAC,-59,-19,-8,31,CCF9579B236F,2290
1742250203175,6C1DEBA3FFAC,-61,-19,-6,7,CCF9579B236F,2291
1742250203227,6C1DEBA3FFAC,-61,-20,-7,30,CCF9579B236F,2292
1742250203228,6C1DEBA3FFAC,-54,-18,-17,21,CCF9579B236F,3256
1742250203228,6C1DEBA3FFAC,-57,-17,-16,25,CCF9579B236F,3257
1742250203229,6C1DEBA3FFAC,-56,-17,-16,18,CCF9579B236F,3258
1742250203279,6C1DEBA3FFAC,-60,-17,-16,11,CCF9579B236F,3259
1742250203375,6C1DEBA3FFAC,-60,-17,-16,11,CCF9579B236F,3261
1742250203428,6C1DEBA3FFAC,-57,-16,-15,25,CCF9579B236F,3262
1742250203476,6C1DEBA3FFAC,-55,-16,-16,24,CCF9579B236F,3263
1742250203529,6C1DEBA3FFAC,-56,-16,-16,16,CCF9579B236F,3264
1742250203577,6C1DEBA3FFAC,-53,-17,-17,22,CCF9579B236F,3265
1742250203625,6C1DEBA3FFAC,-57,-15,-17,25,CCF9579B236F,3266
1742250203679,6C1DEBA3FFAC,-54,-15,-16,35,CCF9579B236F,3267
1742250203727,6C1DEBA3FFAC,-57,-16,-16,18,CCF9579B236F,3268
1742250203775,6C1DEBA3FFAC,-59,-16,-17,24,CCF9579B236F,3269
1742250203828,6C1DEBA3FFAC,-57,-16,-17,15,CCF9579B236F,3270
1742250203876,6C1DEBA3FFAC,-56,-17,-17,19,CCF9579B236F,3271
1742250203929,6C1DEBA3FFAC,-56,-16,-16,25,CCF9579B236F,3272
1742250203977,6C1DEBA3FFAC,-59,-16,-16,5,CCF9579B236F,3273
1742250204025,6C1DEBA3FFAC,-59,-16,-16,11,CCF9579B236F,3274
1742250204078,6C1DEBA3FFAC,-57,-16,-16,16,CCF9579B236F,3275
1742250204132,6C1DEBA3FFAC,-57,-15,-15,25,CCF9579B236F,3276
1742250204178,6C1DEBA3FFAC,-57,-15,-15,8,CCF9579B236F,3277
1742250204226,6C1DEBA3FFAC,-55,-15,-14,36,CCF9579B236F,3278
1742250204279,6C1DEBA3FFAC,-57,-15,-14,16,CCF9579B236F,3279
1742250204375,6C1DEBA3FFAC,-63,-11,-15,29,CCF9579B236F,3281
1742250204428,6C1DEBA3FFAC,-60,-11,-14,5,CCF9579B236F,3282
1742250204476,6C1DEBA3FFAC,-54,-12,-16,23,CCF9579B236F,3283
1742250204529,6C1DEBA3FFAC,-56,-13,-16,33,CCF9579B236F,3284
1742250204577,6C1DEBA3FFAC,-60,-12,-16,4,CCF9579B236F,3285
1742250204625,6C1DEBA3FFAC,-55,-12,-15,36,CCF9579B236F,3286
1742250204678,6C1DEBA3FFAC,-69,-11,-14,28,CCF9579B236F,3287
1742250204726,6C1DEBA3FFAC,-56,-11,-15,16,CCF9579B236F,3288
1742250204779,6C1DEBA3FFAC,-56,-12,-14,18,CCF9579B236F,3289
1742250204827,6C1DEBA3FFAC,-54,-12,-14,34,CCF9579B236F,3290
1742250204875,6C1DEBA3FFAC,-58,-13,-15,31,CCF9579B236F,3291
1742250204929,6C1DEBA3FFAC,-57,-13,-15,32,CCF9579B236F,3292
1742250204977,6C1DEBA3FFAC,-57,-14,-16,31,CCF9579B236F,3293
1742250205025,6C1DEBA3FFAC,-53,-13,-16,35,CCF9579B236F,3294
1742250205079,6C1DEBA3FFAC,-67,-12,-15,27,CCF9579B236F,3295
1742250205132,6C1DEBA3FFAC,-55,-13,-15,19,CCF9579B236F,3296
1742250205179,6C1DEBA3FFAC,-57,-13,-14,8,CCF9579B236F,3297
1742250205226,6C1DEBA3FFAC,-56,-13,-14,8,CCF9579B236F,3298
1742250205275,6C1DEBA3FFAC,-59,-13,-14,4,CCF9579B236F,3299
1742250205329,6C1DEBA3FFAC,-57,-14,-14,17,CCF9579B236F,3300
1742250205376,6C1DEBA3FFAC,-62,-13,-14,12,CCF9579B236F,3301
1742250205430,6C1DEBA3FFAC,-54,-14,-15,22,CCF9579B236F,3302
1742250205477,6C1DEBA3FFAC,-64,-14,-15,10,CCF9579B236F,3303
1742250205526,6C1DEBA3FFAC,-53,-13,-15,35,CCF9579B236F,3304
1742250205579,6C1DEBA3FFAC,-65,-14,-15,13,CCF9579B236F,3305
