Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1742246940191,6C1DEBA3FFAC,-65,-47,-9,11,6C1DEBA09A70,3612
1742246940238,6C1DEBA3FFAC,-62,-47,-10,7,6C1DEBA09A70,3613
1742246940292,6C1DEBA3FFAC,-66,-45,-10,10,6C1DEBA09A70,3614
1742246940339,6C1DEBA3FFAC,-61,-47,-11,29,6C1DEBA09A70,3615
1742246940387,6C1DEBA3FFAC,-62,-46,-12,5,6C1DEBA09A70,3616
1742246940441,6C1DEBA3FFAC,-62,-47,-13,27,6C1DEBA09A70,3617
1742246940488,6C1DEBA3FFAC,-64,-46,-13,5,6C1DEBA09A70,3618
1742246940537,6C1DEBA3FFAC,-76,-45,-12,13,6C1DEBA09A70,3619
1742246940591,6C1DEBA3FFAC,-64,-47,-10,21,6C1DEBA09A70,3620
1742246940645,6C1DEBA3FFAC,-62,-48,-11,27,6C1DEBA09A70,3621
1742246940691,6C1DEBA3FFAC,-62,-47,-12,5,6C1DEBA09A70,3622
1742246940738,6C1DEBA3FFAC,-63,-45,-11,9,6C1DEBA09A70,3623
1742246940786,6C1DEBA3FFAC,-66,-45,-11,3,6C1DEBA09A70,3624
1742246940841,6C1DEBA3FFAC,-62,-46,-13,29,6C1DEBA09A70,3625
1742246940888,6C1DEBA3FFAC,-79,-46,-12,13,6C1DEBA09A70,3626
1742246940941,6C1DEBA3FFAC,-71,-46,-11,16,6C1DEBA09A70,3627
1742246941037,6C1DEBA3FFAC,-66,-46,-11,14,6C1DEBA09A70,3629
1742246941090,6C1DEBA3FFAC,-66,-46,-11,16,6C1DEBA09A70,3630
1742246941138,6C1DEBA3FFAC,-67,-45,-10,10,6C1DEBA09A70,3631
1742246941191,6C1DEBA3FFAC,-69,-45,-10,17,6C1DEBA09A70,3632
1742246941239,6C1DEBA3FFAC,-65,-44,-10,3,6C1DEBA09A70,3633
1742246941341,6C1DEBA3FFAC,-60,-44,-9,9,6C1DEBA09A70,3635
1742246941389,6C1DEBA3FFAC,-65,-45,-7,21,6C1DEBA09A70,3636
1742246941437,6C1DEBA3FFAC,-61,-45,-9,7,6C1DEBA09A70,3637
1742246941490,6C1DEBA3FFAC,-54,-46,-10,30,6C1DEBA09A70,3638
1742246941538,6C1DEBA3FFAC,-73,-46,-10,15,6C1DEBA09A70,3639
1742246941591,6C1DEBA3FFAC,-63,-48,-11,29,6C1DEBA09A70,3640
1742246941645,6C1DEBA3FFAC,-74,-47,-11,15,6C1DEBA09A70,3641
1742246941690,6C1DEBA3FFAC,-62,-47,-12,6,6C1DEBA09A70,3642
1742246941739,6C1DEBA3FFAC,-72,-47,-10,20,6C1DEBA09A70,3643
1742246941787,6C1DEBA3FFAC,-70,-47,-10,18,6C1DEBA09A70,3644
1742246941841,6C1DEBA3FFAC,-65,-48,-11,28,6C1DEBA09A70,3645
1742246941889,6C1DEBA3FFAC,-64,-48,-10,35,6C1DEBA09A70,3646
1742246941937,6C1DEBA3FFAC,-62,-48,-12,7,6C1DEBA09A70,3647
1742246942041,6C1DEBA3FFAC,-68,-47,-12,1,6C1DEBA09A70,3649
1742246942088,6C1DEBA3FFAC,-63,-46,-12,9,6C1DEBA09A70,3650
1742246942137,6C1DEBA3FFAC,-68,-45,-12,2,6C1DEBA09A70,3651
1742246942191,6C1DEBA3FFAC,-63,-44,-12,9,6C1DEBA09A70,3652
1742246942238,6C1DEBA3FFAC,-62,-43,-12,5,6C1DEBA09A70,3653
1742246942287,6C1DEBA3FFAC,-57,-45,-14,32,6C1DEBA09A70,3654
1742246942341,6C1DEBA3FFAC,-71,-45,-13,15,6C1DEBA09A70,3655
1742246942388,6C1DEBA3FFAC,-62,-44,-13,4,6C1DEBA09A70,3656
1742246942437,6C1DEBA3FFAC,-62,-44,-14,6,6C1DEBA09A70,3657
1742246942491,6C1DEBA3FFAC,-63,-43,-15,5,6C1DEBA09A70,3658
1742246942538,6C1DEBA3FFAC,-62,-43,-15,8,6C1DEBA09A70,3659
1742246942592,6C1DEBA3FFAC,-58,-44,-17,30,6C1DEBA09A70,3660
1742246942644,6C1DEBA3FFAC,-60,-45,-18,26,6C1DEBA09A70,3661
1742246942690,6C1DEBA3FFAC,-59,-47,-19,30,6C1DEBA09A70,3662
1742246942738,6C1DEBA3FFAC,-55,-48,-20,31,6C1DEBA09A70,3663
1742246942787,6C1DEBA3FFAC,-57,-49,-21,32,6C1DEBA09A70,3664
1742246942841,6C1DEBA3FFAC,-60,-50,-22,25,6C1DEBA09A70,3665
1742246942888,6C1DEBA3FFAC,-62,-51,-21,36,6C1DEBA09A70,3666
1742246942942,6C1DEBA3FFAC,-62,-51,-18,21,6C1DEBA09A70,3667
1742246942989,6C1DEBA3FFAC,-66,-51,-18,1,6C1DEBA09A70,3668
1742246943037,6C1DEBA3FFAC,-57,-51,-17,24,6C1DEBA09A70,3669
1742246943091,6C1DEBA3FFAC,-62,-50,-16,33,6C1DEBA09A70,3670
1742246943138,6C1DEBA3FFAC,-63,-50,-16,6,6C1DEBA09A70,3671
1742246943191,6C1DEBA3FFAC,-69,-49,-16,2,6C1DEBA09A70,3672
1742246943287,6C1DEBA3FFAC,-63,-48,-16,4,6C1DEBA09A70,3674
1742246943342,6C1DEBA3FFAC,-63,-48,-16,1,6C1DEBA09A70,3675
1742246943389,6C1DEBA3FFAC,-60,-49,-17,26,6C1DEBA09A70,3676
1742246943437,6C1DEBA3FFAC,-58,-49,-18,24,6C1DEBA09A70,3677
1742246943490,6C1DEBA3FFAC,-63,-48,-17,4,6C1DEBA09A70,3678
1742246943538,6C1DEBA3FFAC,-74,-47,-16,13,6C1DEBA09A70,3679
1742246943645,6C1DEBA3FFAC,-76,-46,-15,12,6C1DEBA09A70,3681
1742246943690,6C1DEBA3FFAC,-59,-47,-16,26,6C1DEBA09A70,3682
1742246943738,6C1DEBA3FFAC,-61,-48,-17,27,6C1DEBA09A70,3683
1742246943841,6C1DEBA3FFAC,-63,-49,-19,33,6C1DEBA09A70,3685
1742246943889,6C1DEBA3FFAC,-64,-48,-18,3,6C1DEBA09A70,3686
1742246943937,6C1DEBA3FFAC,-67,-47,-16,34,6C1DEBA09A70,3687
1742246943991,6C1DEBA3FFAC,-57,-47,-16,32,6C1DEBA09A70,3688
1742246944039,6C1DEBA3FFAC,-63,-47,-17,7,6C1DEBA09A70,3689
1742246944087,6C1DEBA3FFAC,-63,-48,-19,7,6C1DEBA09A70,3690
1742246944141,6C1DEBA3FFAC,-66,-47,-17,35,6C1DEBA09A70,3691
1742246944189,6C1DEBA3FFAC,-68,-47,-16,19,6C1DEBA09A70,3692
1742246944237,6C1DEBA3FFAC,-63,-47,-16,6,6C1DEBA09A70,3693
1742246944341,6C1DEBA3FFAC,-77,-46,-15,13,6C1DEBA09A70,3695
1742246944389,6C1DEBA3FFAC,-62,-46,-15,6,6C1DEBA09A70,3696
1742246944437,6C1DEBA3FFAC,-62,-46,-17,29,6C1DEBA09A70,3697
1742246944491,6C1DEBA3FFAC,-63,-46,-16,3,6C1DEBA09A70,3698
1742246944539,6C1DEBA3FFAC,-63,-45,-16,9,6C1DEBA09A70,3699
1742246944587,6C1DEBA3FFAC,-61,-45,-14,21,6C1DEBA09A70,3700
1742246944641,6C1DEBA3FFAC,-67,-45,-13,16,6C1DEBA09A70,3701
1742246944688,6C1DEBA3FFAC,-67,-45,-13,2,6C1DEBA09A70,3702
1742246944791,6C1DEBA3FFAC,-64,-44,-13,3,6C1DEBA09A70,3704
1742246944838,6C1DEBA3FFAC,-66,-44,-13,1,6C1DEBA09A70,3705
1742246944887,6C1DEBA3FFAC,-67,-45,-11,20,6C1DEBA09A70,3706
1742246944941,6C1DEBA3FFAC,-62,-45,-11,18,6C1DEBA09A70,3707
1742246944990,6C1DEBA3FFAC,-66,-44,-11,0,6C1DEBA09A70,3708
1742246945044,6C1DEBA3FFAC,-68,-44,-11,0,6C1DEBA09A70,3709
1742246945090,6C1DEBA3FFAC,-61,-45,-9,23,6C1DEBA09A70,3710
1742246945139,6C1DEBA3FFAC,-54,-47,-10,30,6C1DEBA09A70,3711
1742246945193,6C1DEBA3FFAC,-65,-46,-9,35,6C1DEBA09A70,3712
1742246945239,6C1DEBA3FFAC,-62,-47,-10,6,6C1DEBA09A70,3713
1742246945293,6C1DEBA3FFAC,-70,-45,-10,11,6C1DEBA09A70,3714
1742246945340,6C1DEBA3FFAC,-59,-47,-11,29,6C1DEBA09A70,3715
1742246945389,6C1DEBA3FFAC,-59,-48,-13,26,6C1DEBA09A70,3716
1742246945443,6C1DEBA3FFAC,-71,-48,-13,13,6C1DEBA09A70,3717
1742246945489,6C1DEBA3FFAC,-68,-47,-13,13,6C1DEBA09A70,3718
1742246945543,6C1DEBA3FFAC,-55,-48,-15,31,6C1DEBA09A70,3719
1742246945590,6C1DEBA3FFAC,-54,-49,-16,30,6C1DEBA09A70,3720
1742246945646,6C1DEBA3FFAC,-67,-49,-15,15,6C1DEBA09A70,3721
1742246945690,6C1DEBA3FFAC,-71,-48,-14,12,6C1DEBA09A70,3722
1742246945739,6C1DEBA3FFAC,-59,-48,-16,26,6C1DEBA09A70,3723
1742246945793,6C1DEBA3FFAC,-55,-50,-17,31,6C1DEBA09A70,3724
1742246945840,6C1DEBA3FFAC,-66,-49,-17,0,6C1DEBA09A70,3725
1742246945889,6C1DEBA3FFAC,-55,-50,-18,30,6C1DEBA09A70,3726
1742246945942,6C1DEBA3FFAC,-64,-51,-15,21,6C1DEBA09A70,3727
1742246945989,6C1DEBA3FFAC,-62,-52,-12,21,6C1DEBA09A70,3728
1742246946043,6C1DEBA3FFAC,-62,-53,-13,7,6C1DEBA09A70,3729
1742246946090,6C1DEBA3FFAC,-75,-53,-11,20,6C1DEBA09A70,3730
1742246946139,6C1DEBA3FFAC,-74,-52,-10,13,6C1DEBA09A70,3731
1742246946193,6C1DEBA3FFAC,-62,-51,-10,9,6C1DEBA09A70,3732
1742246946240,6C1DEBA3FFAC,-67,-50,-10,2,6C1DEBA09A70,3733
1742246946289,6C1DEBA3FFAC,-65,-50,-11,7,6C1DEBA09A70,3734
1742246946343,6C1DEBA3FFAC,-62,-49,-11,9,6C1DEBA09A70,3735
1742246946390,6C1DEBA3FFAC,-60,-49,-12,8,6C1DEBA09A70,3736
1742246946439,6C1DEBA3FFAC,-66,-48,-13,6,6C1DEBA09A70,3737
1742246946493,6C1DEBA3FFAC,-78,-48,-12,15,6C1DEBA09A70,3738
1742246946645,6C1DEBA3FFAC,-62,-48,-11,35,6C1DEBA09A70,3741
1742246946743,6C1DEBA3FFAC,-58,-48,-8,24,6C1DEBA09A70,3743
1742246946790,6C1DEBA3FFAC,-58,-49,-10,26,6C1DEBA09A70,3744
1742246946839,6C1DEBA3FFAC,-54,-50,-11,31,6C1DEBA09A70,3745
1742246946893,6C1DEBA3FFAC,-76,-49,-10,12,6C1DEBA09A70,3746
1742246946940,6C1DEBA3FFAC,-73,-48,-9,12,6C1DEBA09A70,3747
1742246946989,6C1DEBA3FFAC,-70,-49,-11,28,6C1DEBA09A70,3748
1742246947043,6C1DEBA3FFAC,-67,-48,-11,1,6C1DEBA09A70,3749
1742246947090,6C1DEBA3FFAC,-62,-47,-10,34,6C1DEBA09A70,3750
1742246947193,6C1DEBA3FFAC,-57,-49,-11,30,6C1DEBA09A70,3752
1742246947240,6C1DEBA3FFAC,-67,-47,-11,0,6C1DEBA09A70,3753
1742246947294,6C1DEBA3FFAC,-74,-48,-13,28,6C1DEBA09A70,3754
1742246947340,6C1DEBA3FFAC,-61,-49,-14,29,6C1DEBA09A70,3755
