Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1742248950360,6C1DEBA3FFAC,-63,-56,24,29,6C1DEBA09A70,43742
1742248950414,6C1DEBA3FFAC,-71,-57,25,23,6C1DEBA09A70,43743
1742248950462,6C1DEBA3FFAC,-60,-58,22,35,6C1DEBA09A70,43744
1742248950510,6C1DEBA3FFAC,-65,-59,23,18,6C1DEBA09A70,43745
1742248950564,6C1DEBA3FFAC,-62,-60,24,18,6C1DEBA09A70,43746
1742248950612,6C1DEBA3FFAC,-74,-60,26,21,6C1DEBA09A70,43747
1742248950660,6C1DEBA3FFAC,-66,-60,26,11,6C1DEBA09A70,43748
1742248950714,6C1DEBA3FFAC,-72,-61,27,22,6C1DEBA09A70,43749
1742248950768,6C1DEBA3FFAC,-62,-60,27,10,6C1DEBA09A70,43750
1742248950813,6C1DEBA3FFAC,-63,-60,24,26,6C1DEBA09A70,43751
1742248950862,6C1DEBA3FFAC,-64,-60,24,8,6C1DEBA09A70,43752
1742248950910,6C1DEBA3FFAC,-63,-59,23,7,6C1DEBA09A70,43753
1742248950964,6C1DEBA3FFAC,-73,-57,25,3,6C1DEBA09A70,43754
1742248951012,6C1DEBA3FFAC,-62,-56,25,9,6C1DEBA09A70,43755
1742248951060,6C1DEBA3FFAC,-64,-56,25,13,6C1DEBA09A70,43756
1742248951114,6C1DEBA3FFAC,-66,-56,25,12,6C1DEBA09A70,43757
1742248951162,6C1DEBA3FFAC,-70,-54,26,4,6C1DEBA09A70,43758
1742248951215,6C1DEBA3FFAC,-62,-55,23,34,6C1DEBA09A70,43759
1742248951262,6C1DEBA3FFAC,-65,-52,20,1,6C1DEBA09A70,43760
1742248951311,6C1DEBA3FFAC,-62,-51,21,9,6C1DEBA09A70,43761
1742248951364,6C1DEBA3FFAC,-62,-53,18,30,6C1DEBA09A70,43762
1742248951411,6C1DEBA3FFAC,-61,-52,18,6,6C1DEBA09A70,43763
1742248951465,6C1DEBA3FFAC,-62,-53,16,34,6C1DEBA09A70,43764
1742248951512,6C1DEBA3FFAC,-62,-54,17,28,6C1DEBA09A70,43765
1742248951561,6C1DEBA3FFAC,-62,-50,15,0,6C1DEBA09A70,43766
1742248951614,6C1DEBA3FFAC,-56,-51,13,36,6C1DEBA09A70,43767
1742248951661,6C1DEBA3FFAC,-64,-52,11,33,6C1DEBA09A70,43768
1742248951769,6C1DEBA3FFAC,-60,-54,9,35,6C1DEBA09A70,43770
1742248951814,6C1DEBA3FFAC,-63,-53,10,8,6C1DEBA09A70,43771
1742248951861,6C1DEBA3FFAC,-62,-54,8,34,6C1DEBA09A70,43772
1742248951915,6C1DEBA3FFAC,-66,-55,9,28,6C1DEBA09A70,43773
1742248951962,6C1DEBA3FFAC,-63,-54,10,5,6C1DEBA09A70,43774
1742248952011,6C1DEBA3FFAC,-63,-53,11,8,6C1DEBA09A70,43775
1742248952114,6C1DEBA3FFAC,-62,-54,13,26,6C1DEBA09A70,43777
1742248952161,6C1DEBA3FFAC,-64,-54,14,16,6C1DEBA09A70,43778
1742248952215,6C1DEBA3FFAC,-63,-54,15,16,6C1DEBA09A70,43779
1742248952262,6C1DEBA3FFAC,-61,-55,12,26,6C1DEBA09A70,43780
1742248952310,6C1DEBA3FFAC,-70,-54,13,4,6C1DEBA09A70,43781
1742248952365,6C1DEBA3FFAC,-67,-54,14,12,6C1DEBA09A70,43782
1742248952412,6C1DEBA3FFAC,-71,-53,15,4,6C1DEBA09A70,43783
