StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z
2025-03-17T22:14:36.498Z,1742249676498,2025-03-17T22:14:48.227Z,1742249688227,60,420,122
2025-03-17T22:15:02.097Z,1742249702097,2025-03-17T22:15:08.165Z,1742249708165,180,420,122
2025-03-17T22:15:19.458Z,1742249719458,2025-03-17T22:15:29.430Z,1742249729430,300,420,122
2025-03-17T22:15:39.390Z,1742249739390,2025-03-17T22:15:48.526Z,1742249748526,420,420,122
2025-03-17T22:16:01.097Z,1742249761097,2025-03-17T22:16:10.624Z,1742249770624,540,420,122
2025-03-17T22:16:26.691Z,1742249786691,2025-03-17T22:16:34.922Z,1742249794922,60,300,122
2025-03-17T22:16:46.658Z,1742249806658,2025-03-17T22:16:55.763Z,1742249815763,180,300,122
2025-03-17T22:17:06.624Z,1742249826624,2025-03-17T22:17:14.428Z,1742249834428,300,300,122
2025-03-17T22:17:26.121Z,1742249846121,2025-03-17T22:17:35.690Z,1742249855690,420,300,122
2025-03-17T22:18:13.855Z,1742249893855,2025-03-17T22:18:24.688Z,1742249904688,540,300,122
2025-03-17T22:19:19.187Z,1742249959187,2025-03-17T22:19:27.854Z,1742249967854,60,180,122
2025-03-17T22:19:38.687Z,1742249978687,2025-03-17T22:19:48.253Z,1742249988253,180,180,122
2025-03-17T22:19:57.787Z,1742249997787,2025-03-17T22:20:06.887Z,1742250006887,300,180,122
2025-03-17T22:20:16.453Z,1742250016453,2025-03-17T22:20:25.987Z,1742250025987,420,180,122
2025-03-17T22:20:37:251Z,1742250037251,2025-03-17T22:20:46.386Z,1742250046386,540,180,122
2025-03-17T22:20:58.521Z,1742250058521,2025-03-17T22:21:09.386Z,1742250069386,60,60,122
2025-03-17T22:21:16.319Z,1742250076319,2025-03-17T22:21:25.852Z,1742250085852,180,60,122
2025-03-17T22:21:33.219Z,1742250093219,2025-03-17T22:21:42.785Z,1742250102785,300,60,122
2025-03-17T22:21:51.885Z,1742250111885,2025-03-17T22:22:01.425Z,1742250121425,420,60,122
2025-03-17T22:22:09.686Z,1742250129686,2025-03-17T22:22:19.219Z,1742250139219,540,60,122
