StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z
2025-04-09T22:48:36.857,1744238916857,2025-04-09T22:48:50.681,1744238930681,0,360,138
2025-04-09T22:49:01.015,1744238941015,2025-04-09T22:49:16.082,1744238956082,90,360,138
2025-04-09T22:49:24.858,1744238964858,2025-04-09T22:49:39.922,1744238979922,180,360,138
2025-04-09T22:49:50.256,1744238990256,2025-04-09T22:50:06.148,1744239006148,270,360,138
2025-04-09T22:50:17.287,1744239017287,2025-04-09T22:50:33.148,1744239033148,360,360,138
2025-04-09T22:50:45.883,1744239045883,2025-04-09T22:51:01.749,1744239061749,450,360,138
2025-04-09T22:51:12.083,1744239072083,2025-04-09T22:51:27.984,1744239087984,540,360,138
2025-04-09T22:51:40.382,1744239100382,2025-04-09T22:51:58.148,1744239118148,540,270,138
2025-04-09T22:52:10.882,1744239130882,2025-04-09T22:52:25.953,1744239145953,450,270,138
2025-04-09T22:52:37.884,1744239157884,2025-04-09T22:52:52.191,1744239172191,360,270,138
2025-04-09T22:53:03.317,1744239183317,2025-04-09T22:53:19.191,1744239199191,270,270,138
2025-04-09T22:53:29.525,1744239209525,2025-04-09T22:53:45.416,1744239225416,180,270,138
2025-04-09T22:53:57.316,1744239237316,2025-04-09T22:54:11.620,1744239251620,90,270,138
2025-04-09T22:54:21.149,1744239261149,2025-04-09T22:54:37.048,1744239277048,0,270,138
2025-04-09T22:54:46.590,1744239286590,2025-04-09T22:55:02.482,1744239302482,0,180,138
2025-04-09T22:55:12.782,1744239312782,2025-04-09T22:55:28.683,1744239328683,90,180,138
2025-04-09T22:55:39.017,1744239339017,2025-04-09T22:55:54.117,1744239354117,180,180,138
2025-04-09T22:56:05.216,1744239365216,2025-04-09T22:56:20.318,1744239380318,270,180,138
2025-04-09T22:56:31.448,1744239391448,2025-04-09T22:56:47.317,1744239407317,360,180,138
2025-04-09T22:56:58.449,1744239418449,2025-04-09T22:57:13.551,1744239433551,450,180,138
2025-04-09T22:57:25.450,1744239445450,2025-04-09T22:57:41.350,1744239461350,540,180,138
2025-04-09T22:57:56.449,1744239476449,2025-04-09T22:58:11.548,1744239491548,540,90,138
2025-04-09T22:58:25.049,1744239505049,2025-04-09T22:58:40.954,1744239520954,450,90,138
2025-04-09T22:58:52.858,1744239532858,2025-04-09T22:59:08.750,1744239548750,360,90,138
2025-04-09T22:59:20.650,1744239560650,2025-04-09T22:59:35.750,1744239575750,270,90,138
2025-04-09T22:59:46.884,1744239586884,2025-04-09T23:00:02.750,1744239602750,180,90,138
2025-04-09T23:00:13.883,1744239613883,2025-04-09T23:00:29.782,1744239629782,90,90,138
2025-04-09T23:00:40.883,1744239640883,2025-04-09T23:00:55.984,1744239655984,0,90,138
2025-04-09T23:01:09.483,1744239669483,2025-04-09T23:01:24.590,1744239684590,0,0,138
2025-04-09T23:01:35.715,1744239695715,2025-04-09T23:01:51.592,1744239711592,90,0,138
2025-04-09T23:02:03.525,1744239723525,2025-04-09T23:02:19.417,1744239739417,180,0,138
2025-04-09T23:02:31.316,1744239751316,2025-04-09T23:02:46.417,1744239766417,270,0,138
2025-04-09T23:02:58.317,1744239778317,2025-04-09T23:03:14.216,1744239794216,360,0,138
2025-04-09T23:03:27.715,1744239807715,2025-04-09T23:03:44.417,1744239824417,450,0,138
2025-04-09T23:03:58.716,1744239838716,2025-04-09T23:04:14.591,1744239854591,540,0,138
