Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1744662082140,6C1DEBA3FFAC,-59,33,1,20,6C1DEBA09A70,11793
1744662082187,6C1DEBA3FFAC,-64,33,2,11,6C1DEBA09A70,11794
1744662082241,6C1DEBA3FFAC,-65,34,0,34,6C1DEBA09A70,11795
1744662082336,6C1DEBA3FFAC,-71,34,1,12,6C1DEBA09A70,11797
1744662082389,6C1DEBA3FFAC,-58,29,-2,18,6C1DEBA09A70,11798
1744662082438,6C1DEBA3FFAC,-70,29,-1,12,6C1DEBA09A70,11799
1744662082486,6C1DEBA3FFAC,-60,31,0,17,6C1DEBA09A70,11800
1744662082542,6C1DEBA3FFAC,-64,32,1,24,6C1DEBA09A70,11801
1744662082587,6C1DEBA3FFAC,-65,26,-2,14,6C1DEBA09A70,11802
1744662082637,6C1DEBA3FFAC,-69,28,-2,8,6C1DEBA09A70,11803
1744662082690,6C1DEBA3FFAC,-64,31,0,15,6C1DEBA09A70,11804
1744662082736,6C1DEBA3FFAC,-64,31,1,11,6C1DEBA09A70,11805
1744662082785,6C1DEBA3FFAC,-62,26,-1,36,6C1DEBA09A70,11806
1744662082841,6C1DEBA3FFAC,-64,27,0,11,6C1DEBA09A70,11807
1744662082888,6C1DEBA3FFAC,-61,29,1,27,6C1DEBA09A70,11808
1744662082942,6C1DEBA3FFAC,-61,31,2,27,6C1DEBA09A70,11809
1744662082988,6C1DEBA3FFAC,-55,33,4,30,6C1DEBA09A70,11810
1744662083037,6C1DEBA3FFAC,-61,29,5,10,6C1DEBA09A70,11811
1744662083090,6C1DEBA3FFAC,-61,26,5,10,6C1DEBA09A70,11812
1744662083138,6C1DEBA3FFAC,-60,28,6,28,6C1DEBA09A70,11813
1744662083185,6C1DEBA3FFAC,-55,29,7,4,6C1DEBA09A70,11814
1744662083240,6C1DEBA3FFAC,-63,30,5,34,6C1DEBA09A70,11815
1744662083286,6C1DEBA3FFAC,-60,31,3,0,6C1DEBA09A70,11816
1744662083335,6C1DEBA3FFAC,-61,32,2,33,6C1DEBA09A70,11817
1744662083388,6C1DEBA3FFAC,-61,27,-1,6,6C1DEBA09A70,11818
1744662083437,6C1DEBA3FFAC,-58,29,-3,31,6C1DEBA09A70,11819
1744662083485,6C1DEBA3FFAC,-54,30,-2,3,6C1DEBA09A70,11820
1744662083539,6C1DEBA3FFAC,-69,30,-1,12,6C1DEBA09A70,11821
1744662083586,6C1DEBA3FFAC,-66,31,-3,34,6C1DEBA09A70,11822
1744662083634,6C1DEBA3FFAC,-55,32,-2,2,6C1DEBA09A70,11823
1744662083689,6C1DEBA3FFAC,-64,27,-5,14,6C1DEBA09A70,11824
1744662083737,6C1DEBA3FFAC,-64,29,-3,15,6C1DEBA09A70,11825
1744662083785,6C1DEBA3FFAC,-65,30,-2,11,6C1DEBA09A70,11826
1744662083839,6C1DEBA3FFAC,-60,30,-3,0,6C1DEBA09A70,11827
1744662083886,6C1DEBA3FFAC,-67,32,-3,8,6C1DEBA09A70,11828
1744662083940,6C1DEBA3FFAC,-63,32,-2,24,6C1DEBA09A70,11829
1744662083987,6C1DEBA3FFAC,-69,31,-1,12,6C1DEBA09A70,11830
1744662084036,6C1DEBA3FFAC,-60,28,0,20,6C1DEBA09A70,11831
1744662084088,6C1DEBA3FFAC,-60,30,1,17,6C1DEBA09A70,11832
1744662084136,6C1DEBA3FFAC,-60,32,3,28,6C1DEBA09A70,11833
1744662084184,6C1DEBA3FFAC,-60,33,4,21,6C1DEBA09A70,11834
1744662084239,6C1DEBA3FFAC,-55,34,4,4,6C1DEBA09A70,11835
1744662084287,6C1DEBA3FFAC,-61,35,4,25,6C1DEBA09A70,11836
1744662084335,6C1DEBA3FFAC,-70,35,5,12,6C1DEBA09A70,11837
1744662084389,6C1DEBA3FFAC,-58,36,6,22,6C1DEBA09A70,11838
1744662084436,6C1DEBA3FFAC,-61,31,3,6,6C1DEBA09A70,11839
1744662084486,6C1DEBA3FFAC,-61,27,4,20,6C1DEBA09A70,11840
1744662084540,6C1DEBA3FFAC,-67,29,4,8,6C1DEBA09A70,11841
1744662084587,6C1DEBA3FFAC,-70,27,4,13,6C1DEBA09A70,11842
1744662084636,6C1DEBA3FFAC,-68,28,5,12,6C1DEBA09A70,11843
1744662084691,6C1DEBA3FFAC,-63,30,5,26,6C1DEBA09A70,11844
1744662084737,6C1DEBA3FFAC,-60,25,7,19,6C1DEBA09A70,11845
1744662084786,6C1DEBA3FFAC,-64,20,5,35,6C1DEBA09A70,11846
1744662084840,6C1DEBA3FFAC,-61,16,7,19,6C1DEBA09A70,11847
1744662084887,6C1DEBA3FFAC,-60,17,8,21,6C1DEBA09A70,11848
1744662084942,6C1DEBA3FFAC,-60,20,9,27,6C1DEBA09A70,11849
1744662084988,6C1DEBA3FFAC,-62,23,10,17,6C1DEBA09A70,11850
1744662085036,6C1DEBA3FFAC,-61,18,7,6,6C1DEBA09A70,11851
1744662085090,6C1DEBA3FFAC,-59,13,9,19,6C1DEBA09A70,11852
1744662085138,6C1DEBA3FFAC,-56,15,9,1,6C1DEBA09A70,11853
1744662085186,6C1DEBA3FFAC,-62,17,6,6,6C1DEBA09A70,11854
1744662085240,6C1DEBA3FFAC,-62,13,5,36,6C1DEBA09A70,11855
1744662085287,6C1DEBA3FFAC,-56,14,4,1,6C1DEBA09A70,11856
1744662085335,6C1DEBA3FFAC,-59,16,5,22,6C1DEBA09A70,11857
1744662085390,6C1DEBA3FFAC,-59,18,6,21,6C1DEBA09A70,11858
1744662085437,6C1DEBA3FFAC,-66,21,7,7,6C1DEBA09A70,11859
1744662085486,6C1DEBA3FFAC,-62,23,8,17,6C1DEBA09A70,11860
1744662085540,6C1DEBA3FFAC,-62,20,9,19,6C1DEBA09A70,11861
1744662085587,6C1DEBA3FFAC,-58,21,10,22,6C1DEBA09A70,11862
1744662085636,6C1DEBA3FFAC,-64,17,8,35,6C1DEBA09A70,11863
1744662085690,6C1DEBA3FFAC,-65,13,6,36,6C1DEBA09A70,11864
1744662085737,6C1DEBA3FFAC,-61,16,7,15,6C1DEBA09A70,11865
1744662085785,6C1DEBA3FFAC,-72,18,6,34,6C1DEBA09A70,11866
1744662085840,6C1DEBA3FFAC,-56,18,6,2,6C1DEBA09A70,11867
1744662085887,6C1DEBA3FFAC,-72,21,7,26,6C1DEBA09A70,11868
1744662085942,6C1DEBA3FFAC,-58,16,6,35,6C1DEBA09A70,11869
1744662086036,6C1DEBA3FFAC,-69,18,6,13,6C1DEBA09A70,11871
1744662086090,6C1DEBA3FFAC,-70,20,6,9,6C1DEBA09A70,11872
1744662086137,6C1DEBA3FFAC,-63,17,7,27,6C1DEBA09A70,11873
1744662086186,6C1DEBA3FFAC,-56,18,6,2,6C1DEBA09A70,11874
1744662086240,6C1DEBA3FFAC,-81,14,4,14,6C1DEBA09A70,11875
1744662086287,6C1DEBA3FFAC,-56,9,2,35,6C1DEBA09A70,11876
1744662086335,6C1DEBA3FFAC,-66,6,3,26,6C1DEBA09A70,11877
1744662086389,6C1DEBA3FFAC,-61,9,1,33,6C1DEBA09A70,11878
