Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1744664435189,6C1DEBA3FFAC,-60,61,16,9,6C1DEBA09A70,58845
1744664435238,6C1DEBA3FFAC,-65,62,12,8,6C1DEBA09A70,58846
1744664435292,6C1DEBA3FFAC,-60,51,19,21,6C1DEBA09A70,58847
1744664435339,6C1DEBA3FFAC,-62,59,24,11,6C1DEBA09A70,58848
1744664435388,6C1DEBA3FFAC,-63,-54,39,14,6C1DEBA09A70,58849
1744664435442,6C1DEBA3FFAC,-55,45,29,2,6C1DEBA09A70,58850
1744664435490,6C1DEBA3FFAC,-66,66,-21,36,6C1DEBA09A70,58851
1744664435538,6C1DEBA3FFAC,-68,43,27,12,6C1DEBA09A70,58852
1744664435593,6C1DEBA3FFAC,-64,63,12,8,6C1DEBA09A70,58853
1744664435640,6C1DEBA3FFAC,-67,57,-23,34,6C1DEBA09A70,58854
1744664435688,6C1DEBA3FFAC,-61,75,27,26,6C1DEBA09A70,58855
1744664435742,6C1DEBA3FFAC,-60,-59,-26,33,6C1DEBA09A70,58856
1744664435789,6C1DEBA3FFAC,-55,63,32,3,6C1DEBA09A70,58857
1744664435837,6C1DEBA3FFAC,-61,-75,57,6,6C1DEBA09A70,58858
1744664435893,6C1DEBA3FFAC,-59,-49,22,10,6C1DEBA09A70,58859
1744664435940,6C1DEBA3FFAC,-59,42,-37,0,6C1DEBA09A70,58860
1744664435988,6C1DEBA3FFAC,-67,36,18,12,6C1DEBA09A70,58861
1744664436042,6C1DEBA3FFAC,-62,-63,27,16,6C1DEBA09A70,58862
1744664436098,6C1DEBA3FFAC,-54,61,37,3,6C1DEBA09A70,58863
1744664436142,6C1DEBA3FFAC,-55,75,-44,32,6C1DEBA09A70,58864
1744664436189,6C1DEBA3FFAC,-59,33,16,23,6C1DEBA09A70,58865
1744664436243,6C1DEBA3FFAC,-59,75,27,26,6C1DEBA09A70,58866
1744664436291,6C1DEBA3FFAC,-57,-51,-40,5,6C1DEBA09A70,58867
1744664436338,6C1DEBA3FFAC,-58,75,40,30,6C1DEBA09A70,58868
1744664436392,6C1DEBA3FFAC,-59,-51,-36,5,6C1DEBA09A70,58869
1744664436440,6C1DEBA3FFAC,-56,75,33,4,6C1DEBA09A70,58870
1744664436493,6C1DEBA3FFAC,-66,59,-23,36,6C1DEBA09A70,58871
1744664436540,6C1DEBA3FFAC,-57,75,30,27,6C1DEBA09A70,58872
1744664436589,6C1DEBA3FFAC,-59,-49,20,10,6C1DEBA09A70,58873
1744664436642,6C1DEBA3FFAC,-61,-40,23,20,6C1DEBA09A70,58874
1744664436690,6C1DEBA3FFAC,-64,-75,-21,35,6C1DEBA09A70,58875
1744664436739,6C1DEBA3FFAC,-61,57,21,17,6C1DEBA09A70,58876
1744664436795,6C1DEBA3FFAC,-58,36,20,22,6C1DEBA09A70,58877
1744664436841,6C1DEBA3FFAC,-61,-62,38,19,6C1DEBA09A70,58878
1744664436889,6C1DEBA3FFAC,-67,62,11,8,6C1DEBA09A70,58879
1744664436944,6C1DEBA3FFAC,-63,-68,-26,33,6C1DEBA09A70,58880
1744664436991,6C1DEBA3FFAC,-61,75,31,28,6C1DEBA09A70,58881
1744664437043,6C1DEBA3FFAC,-62,-40,20,20,6C1DEBA09A70,58882
1744664437098,6C1DEBA3FFAC,-59,75,38,30,6C1DEBA09A70,58883
1744664437144,6C1DEBA3FFAC,-59,-51,-34,5,6C1DEBA09A70,58884
1744664437191,6C1DEBA3FFAC,-66,44,18,12,6C1DEBA09A70,58885
