Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1744665364616,6C1DEBA3FFAC,-61,65,-10,8,6C1DEBA09A70,11894
1744665364663,6C1DEBA3FFAC,-61,43,19,14,6C1DEBA09A70,11895
1744665364712,6C1DEBA3FFAC,-61,57,17,22,6C1DEBA09A70,11896
1744665364760,6C1DEBA3FFAC,-56,68,31,5,6C1DEBA09A70,11897
1744665364816,6C1DEBA3FFAC,-60,58,23,12,6C1DEBA09A70,11898
1744665364864,6C1DEBA3FFAC,-60,75,-17,7,6C1DEBA09A70,11899
1744665364918,6C1DEBA3FFAC,-54,50,20,3,6C1DEBA09A70,11900
1744665364969,6C1DEBA3FFAC,-61,47,12,25,6C1DEBA09A70,11901
1744665365015,6C1DEBA3FFAC,-60,75,25,27,6C1DEBA09A70,11902
1744665365063,6C1DEBA3FFAC,-55,58,26,4,6C1DEBA09A70,11903
1744665365111,6C1DEBA3FFAC,-61,41,17,14,6C1DEBA09A70,11904
1744665365160,6C1DEBA3FFAC,-61,-75,21,15,6C1DEBA09A70,11905
1744665365216,6C1DEBA3FFAC,-61,39,13,23,6C1DEBA09A70,11906
1744665365264,6C1DEBA3FFAC,-58,39,12,1,6C1DEBA09A70,11907
1744665365312,6C1DEBA3FFAC,-61,75,17,26,6C1DEBA09A70,11908
1744665365360,6C1DEBA3FFAC,-64,51,-25,36,6C1DEBA09A70,11909
1744665365416,6C1DEBA3FFAC,-61,25,13,23,6C1DEBA09A70,11910
1744665365463,6C1DEBA3FFAC,-64,56,-22,34,6C1DEBA09A70,11911
1744665365513,6C1DEBA3FFAC,-63,65,-12,8,6C1DEBA09A70,11912
1744665365561,6C1DEBA3FFAC,-61,59,5,9,6C1DEBA09A70,11913
1744665365618,6C1DEBA3FFAC,-55,43,14,2,6C1DEBA09A70,11914
1744665365664,6C1DEBA3FFAC,-60,-37,23,20,6C1DEBA09A70,11915
1744665365712,6C1DEBA3FFAC,-67,44,-17,36,6C1DEBA09A70,11916
1744665365760,6C1DEBA3FFAC,-59,71,22,31,6C1DEBA09A70,11917
1744665365816,6C1DEBA3FFAC,-71,-75,-17,36,6C1DEBA09A70,11918
1744665365863,6C1DEBA3FFAC,-57,70,30,5,6C1DEBA09A70,11919
1744665365918,6C1DEBA3FFAC,-60,59,5,9,6C1DEBA09A70,11920
1744665365969,6C1DEBA3FFAC,-54,49,18,3,6C1DEBA09A70,11921
1744665366016,6C1DEBA3FFAC,-59,47,12,25,6C1DEBA09A70,11922
1744665366063,6C1DEBA3FFAC,-61,75,-20,7,6C1DEBA09A70,11923
1744665366113,6C1DEBA3FFAC,-60,-75,-50,19,6C1DEBA09A70,11924
1744665366161,6C1DEBA3FFAC,-66,43,-14,36,6C1DEBA09A70,11925
1744665366219,6C1DEBA3FFAC,-61,75,-11,18,6C1DEBA09A70,11926
1744665366264,6C1DEBA3FFAC,-58,38,5,1,6C1DEBA09A70,11927
1744665366312,6C1DEBA3FFAC,-61,-40,21,20,6C1DEBA09A70,11928
1744665366361,6C1DEBA3FFAC,-60,39,0,0,6C1DEBA09A70,11929
1744665366418,6C1DEBA3FFAC,-54,49,24,3,6C1DEBA09A70,11930
1744665366464,6C1DEBA3FFAC,-63,75,7,17,6C1DEBA09A70,11931
1744665366513,6C1DEBA3FFAC,-58,67,26,30,6C1DEBA09A70,11932
1744665366561,6C1DEBA3FFAC,-55,56,24,4,6C1DEBA09A70,11933
1744665366617,6C1DEBA3FFAC,-59,75,42,6,6C1DEBA09A70,11934
1744665366664,6C1DEBA3FFAC,-62,-75,-52,19,6C1DEBA09A70,11935
1744665366712,6C1DEBA3FFAC,-60,48,7,13,6C1DEBA09A70,11936
1744665366761,6C1DEBA3FFAC,-60,75,42,6,6C1DEBA09A70,11937
1744665366818,6C1DEBA3FFAC,-60,75,-9,7,6C1DEBA09A70,11938
1744665366864,6C1DEBA3FFAC,-56,38,2,1,6C1DEBA09A70,11939
1744665366920,6C1DEBA3FFAC,-54,42,9,2,6C1DEBA09A70,11940
1744665366971,6C1DEBA3FFAC,-60,60,6,9,6C1DEBA09A70,11941
1744665367015,6C1DEBA3FFAC,-60,42,18,14,6C1DEBA09A70,11942
1744665367064,6C1DEBA3FFAC,-61,70,11,17,6C1DEBA09A70,11943
1744665367113,6C1DEBA3FFAC,-59,75,38,6,6C1DEBA09A70,11944
1744665367160,6C1DEBA3FFAC,-60,75,41,6,6C1DEBA09A70,11945
1744665367216,6C1DEBA3FFAC,-60,-75,-56,19,6C1DEBA09A70,11946
1744665367263,6C1DEBA3FFAC,-61,41,19,14,6C1DEBA09A70,11947
1744665367311,6C1DEBA3FFAC,-61,49,20,12,6C1DEBA09A70,11948
1744665367360,6C1DEBA3FFAC,-61,-38,24,19,6C1DEBA09A70,11949
1744665367417,6C1DEBA3FFAC,-62,75,44,6,6C1DEBA09A70,11950
1744665367463,6C1DEBA3FFAC,-61,-37,24,20,6C1DEBA09A70,11951
1744665367513,6C1DEBA3FFAC,-57,56,18,11,6C1DEBA09A70,11952
1744665367562,6C1DEBA3FFAC,-57,58,17,11,6C1DEBA09A70,11953
1744665367617,6C1DEBA3FFAC,-61,41,-2,0,6C1DEBA09A70,11954
1744665367663,6C1DEBA3FFAC,-57,52,16,5,6C1DEBA09A70,11955
1744665367712,6C1DEBA3FFAC,-63,59,6,8,6C1DEBA09A70,11956
1744665367761,6C1DEBA3FFAC,-60,75,-46,32,6C1DEBA09A70,11957
1744665367818,6C1DEBA3FFAC,-59,61,-30,36,6C1DEBA09A70,11958
1744665367863,6C1DEBA3FFAC,-62,54,24,11,6C1DEBA09A70,11959
1744665367919,6C1DEBA3FFAC,-62,70,33,30,6C1DEBA09A70,11960
1744665367972,6C1DEBA3FFAC,-57,31,-20,2,6C1DEBA09A70,11961
1744665368015,6C1DEBA3FFAC,-58,75,-52,32,6C1DEBA09A70,11962
1744665368063,6C1DEBA3FFAC,-62,59,29,30,6C1DEBA09A70,11963
1744665368112,6C1DEBA3FFAC,-58,33,-31,2,6C1DEBA09A70,11964
1744665368161,6C1DEBA3FFAC,-59,56,30,32,6C1DEBA09A70,11965
1744665368216,6C1DEBA3FFAC,-57,75,-57,3,6C1DEBA09A70,11966
1744665368263,6C1DEBA3FFAC,-62,-56,13,10,6C1DEBA09A70,11967
1744665368311,6C1DEBA3FFAC,-75,-22,15,22,6C1DEBA09A70,11968
1744665368360,6C1DEBA3FFAC,-67,56,26,28,6C1DEBA09A70,11969
1744665368415,6C1DEBA3FFAC,-57,74,34,5,6C1DEBA09A70,11970
1744665368463,6C1DEBA3FFAC,-60,36,26,0,6C1DEBA09A70,11971
1744665368512,6C1DEBA3FFAC,-63,50,-18,34,6C1DEBA09A70,11972
1744665368560,6C1DEBA3FFAC,-62,69,22,30,6C1DEBA09A70,11973
1744665368615,6C1DEBA3FFAC,-55,45,23,2,6C1DEBA09A70,11974
1744665368663,6C1DEBA3FFAC,-57,71,-29,33,6C1DEBA09A70,11975
1744665368711,6C1DEBA3FFAC,-58,67,18,10,6C1DEBA09A70,11976
1744665368764,6C1DEBA3FFAC,-61,-43,20,21,6C1DEBA09A70,11977
1744665368812,6C1DEBA3FFAC,-61,68,22,10,6C1DEBA09A70,11978
1744665368860,6C1DEBA3FFAC,-61,30,14,24,6C1DEBA09A70,11979
1744665368921,6C1DEBA3FFAC,-61,47,11,26,6C1DEBA09A70,11980
1744665368971,6C1DEBA3FFAC,-60,62,24,12,6C1DEBA09A70,11981
1744665369015,6C1DEBA3FFAC,-56,55,30,3,6C1DEBA09A70,11982
1744665369063,6C1DEBA3FFAC,-57,49,5,25,6C1DEBA09A70,11983
1744665369113,6C1DEBA3FFAC,-56,72,32,5,6C1DEBA09A70,11984
1744665369161,6C1DEBA3FFAC,-58,63,11,10,6C1DEBA09A70,11985
1744665369217,6C1DEBA3FFAC,-60,40,8,1,6C1DEBA09A70,11986
1744665369263,6C1DEBA3FFAC,-61,59,9,9,6C1DEBA09A70,11987
1744665369313,6C1DEBA3FFAC,-62,35,-9,0,6C1DEBA09A70,11988
1744665369361,6C1DEBA3FFAC,-59,71,22,30,6C1DEBA09A70,11989
1744665369417,6C1DEBA3FFAC,-65,62,12,9,6C1DEBA09A70,11990
1744665369463,6C1DEBA3FFAC,-66,-75,15,16,6C1DEBA09A70,11991
1744665369518,6C1DEBA3FFAC,-59,-67,-20,34,6C1DEBA09A70,11992
1744665369565,6C1DEBA3FFAC,-57,67,32,11,6C1DEBA09A70,11993
1744665369618,6C1DEBA3FFAC,-57,-75,-35,33,6C1DEBA09A70,11994
1744665369664,6C1DEBA3FFAC,-60,-67,31,10,6C1DEBA09A70,11995
1744665369719,6C1DEBA3FFAC,-62,-75,-32,34,6C1DEBA09A70,11996
1744665369765,6C1DEBA3FFAC,-59,36,22,27,6C1DEBA09A70,11997
1744665369814,6C1DEBA3FFAC,-59,70,21,28,6C1DEBA09A70,11998
1744665369861,6C1DEBA3FFAC,-57,55,22,27,6C1DEBA09A70,11999
1744665369923,6C1DEBA3FFAC,-60,62,24,9,6C1DEBA09A70,12000
1744665369974,6C1DEBA3FFAC,-55,62,9,31,6C1DEBA09A70,12001
1744665370018,6C1DEBA3FFAC,-62,64,18,0,6C1DEBA09A70,12002
1744665370063,6C1DEBA3FFAC,-55,75,-50,33,6C1DEBA09A70,12003
1744665370114,6C1DEBA3FFAC,-57,61,28,10,6C1DEBA09A70,12004
1744665370161,6C1DEBA3FFAC,-59,61,34,12,6C1DEBA09A70,12005
1744665370217,6C1DEBA3FFAC,-55,69,28,4,6C1DEBA09A70,12006
1744665370263,6C1DEBA3FFAC,-57,69,7,30,6C1DEBA09A70,12007
1744665370312,6C1DEBA3FFAC,-62,53,11,23,6C1DEBA09A70,12008
