Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1744666272238,6C1DEBA3FFAC,-59,62,26,18,6C1DEBA09A70,30046
1744666272292,6C1DEBA3FFAC,-59,-52,22,10,6C1DEBA09A70,30047
1744666272336,6C1DEBA3FFAC,-66,52,-19,34,6C1DEBA09A70,30048
1744666272384,6C1DEBA3FFAC,-60,34,19,24,6C1DEBA09A70,30049
1744666272432,6C1DEBA3FFAC,-59,33,16,23,6C1DEBA09A70,30050
1744666272486,6C1DEBA3FFAC,-60,63,16,9,6C1DEBA09A70,30051
1744666272534,6C1DEBA3FFAC,-58,59,-44,32,6C1DEBA09A70,30052
1744666272583,6C1DEBA3FFAC,-59,-51,21,10,6C1DEBA09A70,30053
1744666272639,6C1DEBA3FFAC,-57,-66,-45,5,6C1DEBA09A70,30054
1744666272684,6C1DEBA3FFAC,-64,-75,-53,14,6C1DEBA09A70,30055
1744666272738,6C1DEBA3FFAC,-61,75,20,17,6C1DEBA09A70,30056
1744666272785,6C1DEBA3FFAC,-59,46,18,22,6C1DEBA09A70,30057
1744666272833,6C1DEBA3FFAC,-55,75,34,4,6C1DEBA09A70,30058
1744666272885,6C1DEBA3FFAC,-61,75,-24,6,6C1DEBA09A70,30059
1744666272934,6C1DEBA3FFAC,-64,-75,-48,14,6C1DEBA09A70,30060
1744666272982,6C1DEBA3FFAC,-57,75,32,27,6C1DEBA09A70,30061
1744666273037,6C1DEBA3FFAC,-60,75,28,28,6C1DEBA09A70,30062
1744666273084,6C1DEBA3FFAC,-60,75,29,28,6C1DEBA09A70,30063
1744666273133,6C1DEBA3FFAC,-64,75,1,7,6C1DEBA09A70,30064
1744666273188,6C1DEBA3FFAC,-63,-66,36,15,6C1DEBA09A70,30065
1744666273234,6C1DEBA3FFAC,-55,42,27,2,6C1DEBA09A70,30066
1744666273288,6C1DEBA3FFAC,-62,56,19,11,6C1DEBA09A70,30067
1744666273334,6C1DEBA3FFAC,-55,75,30,4,6C1DEBA09A70,30068
1744666273382,6C1DEBA3FFAC,-59,75,26,26,6C1DEBA09A70,30069
1744666273435,6C1DEBA3FFAC,-62,75,30,28,6C1DEBA09A70,30070
1744666273483,6C1DEBA3FFAC,-67,59,-19,36,6C1DEBA09A70,30071
1744666273532,6C1DEBA3FFAC,-61,51,17,25,6C1DEBA09A70,30072
1744666273586,6C1DEBA3FFAC,-63,-48,27,16,6C1DEBA09A70,30073
1744666273634,6C1DEBA3FFAC,-60,60,15,9,6C1DEBA09A70,30074
1744666273687,6C1DEBA3FFAC,-60,-55,33,19,6C1DEBA09A70,30075
1744666273734,6C1DEBA3FFAC,-58,75,32,27,6C1DEBA09A70,30076
1744666273785,6C1DEBA3FFAC,-61,-63,-26,33,6C1DEBA09A70,30077
1744666273838,6C1DEBA3FFAC,-60,75,32,18,6C1DEBA09A70,30078
1744666273884,6C1DEBA3FFAC,-58,32,16,23,6C1DEBA09A70,30079
1744666273939,6C1DEBA3FFAC,-63,-67,-16,35,6C1DEBA09A70,30080
1744666273984,6C1DEBA3FFAC,-61,53,20,21,6C1DEBA09A70,30081
1744666274034,6C1DEBA3FFAC,-62,-59,30,16,6C1DEBA09A70,30082
1744666274086,6C1DEBA3FFAC,-63,-66,-20,35,6C1DEBA09A70,30083
1744666274133,6C1DEBA3FFAC,-64,75,3,7,6C1DEBA09A70,30084
1744666274236,6C1DEBA3FFAC,-57,-52,-38,5,6C1DEBA09A70,30086
1744666274290,6C1DEBA3FFAC,-60,29,18,23,6C1DEBA09A70,30087
1744666274336,6C1DEBA3FFAC,-62,-61,28,16,6C1DEBA09A70,30088
1744666274436,6C1DEBA3FFAC,-60,47,19,25,6C1DEBA09A70,30090
1744666274484,6C1DEBA3FFAC,-60,60,13,9,6C1DEBA09A70,30091
1744666274534,6C1DEBA3FFAC,-59,55,11,9,6C1DEBA09A70,30092
1744666274586,6C1DEBA3FFAC,-61,75,40,6,6C1DEBA09A70,30093
1744666274633,6C1DEBA3FFAC,-59,75,29,27,6C1DEBA09A70,30094
1744666274686,6C1DEBA3FFAC,-59,35,16,23,6C1DEBA09A70,30095
1744666274734,6C1DEBA3FFAC,-60,42,18,22,6C1DEBA09A70,30096
1744666274783,6C1DEBA3FFAC,-59,65,15,9,6C1DEBA09A70,30097
1744666274835,6C1DEBA3FFAC,-57,69,28,18,6C1DEBA09A70,30098
1744666274883,6C1DEBA3FFAC,-55,72,33,4,6C1DEBA09A70,30099
1744666274936,6C1DEBA3FFAC,-55,38,26,2,6C1DEBA09A70,30100
1744666274984,6C1DEBA3FFAC,-62,75,-47,32,6C1DEBA09A70,30101
1744666275032,6C1DEBA3FFAC,-59,38,-33,0,6C1DEBA09A70,30102
1744666275086,6C1DEBA3FFAC,-56,38,25,1,6C1DEBA09A70,30103
