Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1744663283530,6C1DEBA3FFAC,-67,55,14,8,6C1DEBA09A70,35816
1744663283578,6C1DEBA3FFAC,-59,-65,29,16,6C1DEBA09A70,35817
1744663283626,6C1DEBA3FFAC,-58,-75,36,15,6C1DEBA09A70,35818
1744663283679,6C1DEBA3FFAC,-59,-51,10,32,6C1DEBA09A70,35819
1744663283727,6C1DEBA3FFAC,-58,75,24,25,6C1DEBA09A70,35820
1744663283776,6C1DEBA3FFAC,-67,55,12,8,6C1DEBA09A70,35821
1744663283830,6C1DEBA3FFAC,-59,58,25,17,6C1DEBA09A70,35822
1744663283877,6C1DEBA3FFAC,-58,66,11,29,6C1DEBA09A70,35823
1744663283926,6C1DEBA3FFAC,-58,75,9,4,6C1DEBA09A70,35824
1744663283981,6C1DEBA3FFAC,-62,55,70,0,6C1DEBA09A70,35825
1744663284035,6C1DEBA3FFAC,-57,66,10,29,6C1DEBA09A70,35826
1744663284081,6C1DEBA3FFAC,-59,-66,27,16,6C1DEBA09A70,35827
1744663284126,6C1DEBA3FFAC,-57,75,21,26,6C1DEBA09A70,35828
1744663284175,6C1DEBA3FFAC,-64,-42,1,34,6C1DEBA09A70,35829
1744663284228,6C1DEBA3FFAC,-76,13,-16,11,6C1DEBA09A70,35830
1744663284276,6C1DEBA3FFAC,-61,-75,-46,13,6C1DEBA09A70,35831
1744663284325,6C1DEBA3FFAC,-65,75,20,7,6C1DEBA09A70,35832
1744663284380,6C1DEBA3FFAC,-59,75,23,25,6C1DEBA09A70,35833
1744663284427,6C1DEBA3FFAC,-62,60,21,20,6C1DEBA09A70,35834
1744663284475,6C1DEBA3FFAC,-57,-31,20,2,6C1DEBA09A70,35835
1744663284530,6C1DEBA3FFAC,-57,-37,28,3,6C1DEBA09A70,35836
1744663284577,6C1DEBA3FFAC,-61,-75,-46,13,6C1DEBA09A70,35837
1744663284629,6C1DEBA3FFAC,-59,43,25,23,6C1DEBA09A70,35838
1744663284677,6C1DEBA3FFAC,-59,-68,29,16,6C1DEBA09A70,35839
1744663284726,6C1DEBA3FFAC,-78,5,-13,11,6C1DEBA09A70,35840
1744663284779,6C1DEBA3FFAC,-60,75,-11,5,6C1DEBA09A70,35841
1744663284826,6C1DEBA3FFAC,-62,38,53,0,6C1DEBA09A70,35842
1744663284879,6C1DEBA3FFAC,-59,-71,30,16,6C1DEBA09A70,35843
1744663284927,6C1DEBA3FFAC,-61,-75,-47,13,6C1DEBA09A70,35844
1744663284975,6C1DEBA3FFAC,-59,-75,43,14,6C1DEBA09A70,35845
1744663285030,6C1DEBA3FFAC,-66,75,1,36,6C1DEBA09A70,35846
1744663285076,6C1DEBA3FFAC,-59,42,26,23,6C1DEBA09A70,35847
1744663285178,6C1DEBA3FFAC,-57,-75,37,15,6C1DEBA09A70,35849
1744663285226,6C1DEBA3FFAC,-67,75,19,7,6C1DEBA09A70,35850
1744663285279,6C1DEBA3FFAC,-62,-53,12,32,6C1DEBA09A70,35851
1744663285327,6C1DEBA3FFAC,-67,58,17,8,6C1DEBA09A70,35852
1744663285375,6C1DEBA3FFAC,-58,75,-11,5,6C1DEBA09A70,35853
1744663285428,6C1DEBA3FFAC,-61,75,20,19,6C1DEBA09A70,35854
1744663285476,6C1DEBA3FFAC,-77,75,-4,35,6C1DEBA09A70,35855
1744663285529,6C1DEBA3FFAC,-59,57,24,17,6C1DEBA09A70,35856
1744663285577,6C1DEBA3FFAC,-62,-56,29,9,6C1DEBA09A70,35857
1744663285625,6C1DEBA3FFAC,-56,-69,23,31,6C1DEBA09A70,35858
1744663285678,6C1DEBA3FFAC,-57,43,24,23,6C1DEBA09A70,35859
1744663285726,6C1DEBA3FFAC,-63,61,5,33,6C1DEBA09A70,35860
1744663285780,6C1DEBA3FFAC,-60,-64,27,16,6C1DEBA09A70,35861
1744663285828,6C1DEBA3FFAC,-59,-34,3,28,6C1DEBA09A70,35862
1744663285876,6C1DEBA3FFAC,-57,49,31,23,6C1DEBA09A70,35863
1744663285930,6C1DEBA3FFAC,-58,75,18,26,6C1DEBA09A70,35864
1744663285976,6C1DEBA3FFAC,-58,-75,34,15,6C1DEBA09A70,35865
1744663286033,6C1DEBA3FFAC,-66,-75,-38,12,6C1DEBA09A70,35866
1744663286077,6C1DEBA3FFAC,-57,51,31,22,6C1DEBA09A70,35867
1744663286125,6C1DEBA3FFAC,-57,72,11,29,6C1DEBA09A70,35868
1744663286178,6C1DEBA3FFAC,-59,-38,-13,4,6C1DEBA09A70,35869
1744663286226,6C1DEBA3FFAC,-58,-75,43,14,6C1DEBA09A70,35870
1744663286279,6C1DEBA3FFAC,-59,-35,-3,4,6C1DEBA09A70,35871
1744663286327,6C1DEBA3FFAC,-56,70,22,30,6C1DEBA09A70,35872
1744663286375,6C1DEBA3FFAC,-75,12,-13,11,6C1DEBA09A70,35873
1744663286429,6C1DEBA3FFAC,-61,69,22,17,6C1DEBA09A70,35874
1744663286477,6C1DEBA3FFAC,-64,72,9,36,6C1DEBA09A70,35875
1744663286525,6C1DEBA3FFAC,-57,67,15,26,6C1DEBA09A70,35876
1744663286580,6C1DEBA3FFAC,-58,-32,23,26,6C1DEBA09A70,35877
1744663286627,6C1DEBA3FFAC,-56,66,14,29,6C1DEBA09A70,35878
1744663286680,6C1DEBA3FFAC,-59,-69,26,16,6C1DEBA09A70,35879
1744663286729,6C1DEBA3FFAC,-57,65,11,29,6C1DEBA09A70,35880
1744663286776,6C1DEBA3FFAC,-57,-29,29,2,6C1DEBA09A70,35881
1744663286831,6C1DEBA3FFAC,-76,13,-15,11,6C1DEBA09A70,35882
1744663286877,6C1DEBA3FFAC,-63,75,5,36,6C1DEBA09A70,35883
1744663286931,6C1DEBA3FFAC,-56,-29,0,27,6C1DEBA09A70,35884
1744663286979,6C1DEBA3FFAC,-58,-27,26,2,6C1DEBA09A70,35885
1744663287033,6C1DEBA3FFAC,-60,-75,43,14,6C1DEBA09A70,35886
1744663287078,6C1DEBA3FFAC,-67,75,0,36,6C1DEBA09A70,35887
1744663287128,6C1DEBA3FFAC,-63,65,24,8,6C1DEBA09A70,35888
1744663287181,6C1DEBA3FFAC,-57,64,23,17,6C1DEBA09A70,35889
1744663287228,6C1DEBA3FFAC,-58,75,27,24,6C1DEBA09A70,35890
1744663287277,6C1DEBA3FFAC,-60,24,14,0,6C1DEBA09A70,35891
1744663287330,6C1DEBA3FFAC,-60,43,14,21,6C1DEBA09A70,35892
1744663287377,6C1DEBA3FFAC,-61,35,33,23,6C1DEBA09A70,35893
1744663287429,6C1DEBA3FFAC,-63,34,13,21,6C1DEBA09A70,35894
1744663287477,6C1DEBA3FFAC,-75,-75,46,9,6C1DEBA09A70,35895
1744663287525,6C1DEBA3FFAC,-62,75,34,25,6C1DEBA09A70,35896
1744663287580,6C1DEBA3FFAC,-60,-75,61,3,6C1DEBA09A70,35897
1744663287627,6C1DEBA3FFAC,-62,-57,34,15,6C1DEBA09A70,35898
1744663287677,6C1DEBA3FFAC,-64,62,23,9,6C1DEBA09A70,35899
1744663287731,6C1DEBA3FFAC,-59,-51,56,3,6C1DEBA09A70,35900
1744663287778,6C1DEBA3FFAC,-60,-35,-23,5,6C1DEBA09A70,35901
1744663287827,6C1DEBA3FFAC,-58,-61,24,33,6C1DEBA09A70,35902
