StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z
2025-04-14T21:31:20.954,1744666280954,2025-04-14T21:31:35.363,1744666295363,0,360,138
2025-04-14T21:31:45.186,1744666305186,2025-04-14T21:32:00.329,1744666320329,90,360,138
2025-04-14T21:32:08.663,1744666328663,2025-04-14T21:32:24.554,1744666344554,180,360,138
2025-04-14T21:32:34.420,1744666354420,2025-04-14T21:32:49.552,1744666369552,270,360,138
2025-04-14T21:32:59.395,1744666379395,2025-04-14T21:33:14.518,1744666394518,360,360,138
2025-04-14T21:33:25.119,1744666405119,2025-04-14T21:33:39.519,1744666419519,450,360,138
2025-04-14T21:33:48.586,1744666428586,2025-04-14T21:34:04.486,1744666444486,540,360,138
2025-04-14T21:34:12.086,1744666452086,2025-04-14T21:34:27.951,1744666467951,540,270,138
2025-04-14T21:34:38.551,1744666478551,2025-04-14T21:34:52.951,1744666492951,450,270,138
2025-04-14T21:35:05.818,1744666505818,2025-04-14T21:35:19.451,1744666519451,360,270,138
2025-04-14T21:35:30.061,1744666530061,2025-04-14T21:35:44.418,1744666544418,270,270,138
2025-04-14T21:36:17.750,1744666577750,2025-04-14T21:36:37.416,1744666597416,180,270,138
2025-04-14T21:36:48.025,1744666608025,2025-04-14T21:37:03.183,1744666623183,90,270,138
2025-04-14T21:37:12.250,1744666632250,2025-04-14T21:37:28.149,1744666648149,0,270,138
2025-04-14T21:37:40.248,1744666660248,2025-04-14T21:37:54.658,1744666674658,0,180,138
2025-04-14T21:38:02.991,1744666682991,2025-04-14T21:38:18.115,1744666698115,90,180,138
2025-04-14T21:38:25.690,1744666705690,2025-04-14T21:38:41.581,1744666721581,180,180,138
2025-04-14T21:38:47.657,1744666727657,2025-04-14T21:39:02.781,1744666742781,270,180,138
2025-04-14T21:39:08.848,1744666748848,2025-04-14T21:39:25.513,1744666765513,360,180,138
2025-04-14T21:39:33.081,1744666773081,2025-04-14T21:39:48.214,1744666788214,450,180,138
2025-04-14T21:39:55.781,1744666795781,2025-04-14T21:40:10.181,1744666810181,540,180,138
2025-04-14T21:40:20.781,1744666820781,2025-04-14T21:40:33.656,1744666833656,540,90,138
2025-04-14T21:40:44.247,1744666844247,2025-04-14T21:40:58.613,1744666858613,450,90,138
2025-04-14T21:41:08.445,1744666868445,2025-04-14T21:41:24.353,1744666884353,360,90,138
2025-04-14T21:41:31.945,1744666891945,2025-04-14T21:41:47.080,1744666907080,270,90,138
2025-04-14T21:41:56.912,1744666916912,2025-04-14T21:42:12.053,1744666932053,180,90,138
2025-04-14T21:42:27.945,1744666947945,2025-04-14T21:42:42.353,1744666962353,90,90,138
2025-04-14T21:42:27.945,1744666947945,2025-04-14T21:42:42.353,1744666962353,90,90,138
2025-04-14T21:42:50.686,1744666970686,2025-04-14T21:43:06.578,1744666986578,0,90,138
2025-04-14T21:43:14.145,1744666994145,2025-04-14T21:43:28.511,1744667008511,0,0,138
2025-04-14T21:43:38.386,1744667018386,2025-04-14T21:43:54.276,1744667034276,90,0,138
2025-04-14T21:44:01.843,1744667041843,2025-04-14T21:44:16.986,1744667056986,180,0,138
2025-04-14T21:44:22.277,1744667062277,2025-04-14T21:44:38.177,1744667078177,270,0,138
2025-04-14T21:44:47.243,1744667087243,2025-04-14T21:45:02.410,1744667102410,360,0,138
2025-04-14T21:45:09.211,1744667109211,2025-04-14T21:45:25.109,1744667125109,450,0,138
2025-04-14T21:45:31.175,1744667131175,2025-04-14T21:45:44.809,1744667144809,540,0,138
