Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1744842232821,6C1DEBA3FFAC,-62,-6,-7,3,6C1DEBA09A56,61605
1744842232822,6C1DEBA3FFAC,-72,-4,-6,24,6C1DEBA09A56,61606
1744842232822,6C1DEBA3FFAC,-68,1,-3,8,6C1DEBA09A56,61607
1744842232822,6C1DEBA3FFAC,-69,-1,-1,23,6C1DEBA09A56,61608
1744842232823,6C1DEBA3FFAC,-60,-9,-4,20,6C1DEBA09A56,61609
1744842232823,6C1DEBA3FFAC,-69,-2,4,28,6C1DEBA09A56,61610
1744842232865,6C1DEBA3FFAC,-64,0,2,36,6C1DEBA09A56,61611
1744842232865,6C1DEBA3FFAC,-60,-3,-8,5,6C1DEBA09A56,61612
1744842232866,6C1DEBA3FFAC,-60,0,-2,17,6C1DEBA09A56,61613
1744842232867,6C1DEBA3FFAC,-62,5,-2,13,6C1DEBA09A56,61614
1744842232867,6C1DEBA3FFAC,-69,8,-5,10,6C1DEBA09A56,61615
1744842232867,6C1DEBA3FFAC,-62,-2,-3,19,6C1DEBA09A56,61616
1744842232897,6C1DEBA3FFAC,-63,-5,-8,2,6C1DEBA09A56,61618
1744842232897,6C1DEBA3FFAC,-67,1,-3,9,6C1DEBA09A56,61619
1744842232898,6C1DEBA3FFAC,-71,-26,-3,17,6C1DEBA09A56,64196
1744842232984,6C1DEBA3FFAC,-60,-33,-22,12,6C1DEBA09A56,64197
1744842233080,6C1DEBA3FFAC,-67,-21,21,9,6C1DEBA09A56,64198
1744842233184,6C1DEBA3FFAC,-71,-26,-3,17,6C1DEBA09A56,64199
1744842233280,6C1DEBA3FFAC,-61,-29,-16,13,6C1DEBA09A56,64200
1744842233384,6C1DEBA3FFAC,-65,-28,1,21,6C1DEBA09A56,64201
1744842233480,6C1DEBA3FFAC,-63,-22,-5,28,6C1DEBA09A56,64202
1744842233584,6C1DEBA3FFAC,-72,-27,-6,16,6C1DEBA09A56,64203
1744842233680,6C1DEBA3FFAC,-64,-36,-14,0,6C1DEBA09A56,64204
1744842233784,6C1DEBA3FFAC,-67,-23,-10,15,6C1DEBA09A56,64205
1744842233885,6C1DEBA3FFAC,-69,-32,-2,32,6C1DEBA09A56,64206
1744842233981,6C1DEBA3FFAC,-62,-25,-3,29,6C1DEBA09A56,64207
1744842234184,6C1DEBA3FFAC,-67,-31,-9,1,6C1DEBA09A56,64209
1744842234280,6C1DEBA3FFAC,-65,-39,-13,0,6C1DEBA09A56,64210
1744842234384,6C1DEBA3FFAC,-73,-19,11,8,6C1DEBA09A56,64211
1744842234480,6C1DEBA3FFAC,-69,-32,-1,32,6C1DEBA09A56,64212
1744842234584,6C1DEBA3FFAC,-73,-22,6,7,6C1DEBA09A56,64213
1744842234680,6C1DEBA3FFAC,-65,-39,-12,0,6C1DEBA09A56,64214
1744842234784,6C1DEBA3FFAC,-66,-21,0,20,6C1DEBA09A56,64215
1744842234885,6C1DEBA3FFAC,-61,-29,-18,13,6C1DEBA09A56,64216
1744842234981,6C1DEBA3FFAC,-75,72,-6,3,6C1DEBA09A56,64217
1744842235084,6C1DEBA3FFAC,-59,-6,42,36,6C1DEBA09A56,64218
1744842235180,6C1DEBA3FFAC,-65,-38,-13,0,6C1DEBA09A56,64219
1744842235284,6C1DEBA3FFAC,-67,-30,-9,1,6C1DEBA09A56,64220
1744842235380,6C1DEBA3FFAC,-62,-19,2,30,6C1DEBA09A56,64221
1744842235484,6C1DEBA3FFAC,-67,-30,-8,1,6C1DEBA09A56,64222
1744842235580,6C1DEBA3FFAC,-61,-34,-1,22,6C1DEBA09A56,64223
1744842235684,6C1DEBA3FFAC,-75,74,-5,3,6C1DEBA09A56,64224
1744842235780,6C1DEBA3FFAC,-64,-24,-8,28,6C1DEBA09A56,64225
1744842235987,6C1DEBA3FFAC,-65,-26,2,21,6C1DEBA09A56,64227
1744842236082,6C1DEBA3FFAC,-61,-19,1,30,6C1DEBA09A56,64228
1744842236184,6C1DEBA3FFAC,-62,-36,-19,24,6C1DEBA09A56,64229
1744842236280,6C1DEBA3FFAC,-63,-27,1,31,6C1DEBA09A56,64230
1744842236384,6C1DEBA3FFAC,-76,-21,10,8,6C1DEBA09A56,64231
1744842236480,6C1DEBA3FFAC,-63,-29,0,31,6C1DEBA09A56,64232
1744842236684,6C1DEBA3FFAC,-68,-35,-4,32,6C1DEBA09A56,64234
1744842236780,6C1DEBA3FFAC,-62,-31,-22,11,6C1DEBA09A56,64235
1744842236884,6C1DEBA3FFAC,-61,-41,-23,25,6C1DEBA09A56,64236
1744842236985,6C1DEBA3FFAC,-65,-41,-14,0,6C1DEBA09A56,64237
1744842237081,6C1DEBA3FFAC,-64,-28,1,21,6C1DEBA09A56,64238
1744842237184,6C1DEBA3FFAC,-61,-36,-19,24,6C1DEBA09A56,64239
1744842237280,6C1DEBA3FFAC,-70,-26,-4,17,6C1DEBA09A56,64240
1744842237384,6C1DEBA3FFAC,-62,-32,-21,11,6C1DEBA09A56,64241
1744842237480,6C1DEBA3FFAC,-72,-21,-1,18,6C1DEBA09A56,64242
1744842237584,6C1DEBA3FFAC,-57,-12,-6,36,6C1DEBA09A56,64243
1744842237680,6C1DEBA3FFAC,-66,-43,-14,0,6C1DEBA09A56,64244
