Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1744842817656,6C1DEBA3FFAC,-55,24,-13,33,6C1DEBA09A70,10073
1744842817702,6C1DEBA3FFAC,-53,24,-21,31,6C1DEBA09A70,10074
1744842817750,6C1DEBA3FFAC,-56,18,14,10,6C1DEBA09A70,10075
1744842817799,6C1DEBA3FFAC,-58,21,-11,27,6C1DEBA09A70,10076
1744842817852,6C1DEBA3FFAC,-55,17,-16,30,6C1DEBA09A70,10077
1744842817899,6C1DEBA3FFAC,-58,22,-20,26,6C1DEBA09A70,10078
1744842817953,6C1DEBA3FFAC,-57,23,-20,32,6C1DEBA09A70,10079
1744842818000,6C1DEBA3FFAC,-56,23,0,14,6C1DEBA09A70,10080
1744842818049,6C1DEBA3FFAC,-55,16,-21,34,6C1DEBA09A70,10081
1744842818103,6C1DEBA3FFAC,-66,16,7,22,6C1DEBA09A70,10082
1744842818150,6C1DEBA3FFAC,-65,13,16,23,6C1DEBA09A70,10083
1744842818198,6C1DEBA3FFAC,-67,22,4,19,6C1DEBA09A70,10084
1744842818253,6C1DEBA3FFAC,-58,22,-3,16,6C1DEBA09A70,10085
1744842818300,6C1DEBA3FFAC,-55,21,20,9,6C1DEBA09A70,10086
1744842818348,6C1DEBA3FFAC,-58,16,6,12,6C1DEBA09A70,10087
1744842818403,6C1DEBA3FFAC,-56,18,-17,34,6C1DEBA09A70,10088
1744842818450,6C1DEBA3FFAC,-58,19,-15,27,6C1DEBA09A70,10089
1744842818498,6C1DEBA3FFAC,-58,24,-2,16,6C1DEBA09A70,10090
1744842818552,6C1DEBA3FFAC,-59,19,11,5,6C1DEBA09A70,10091
1744842818600,6C1DEBA3FFAC,-57,21,-17,33,6C1DEBA09A70,10092
1744842818654,6C1DEBA3FFAC,-79,19,8,20,6C1DEBA09A70,10093
1744842818701,6C1DEBA3FFAC,-55,17,-19,34,6C1DEBA09A70,10094
1744842818749,6C1DEBA3FFAC,-52,23,-21,31,6C1DEBA09A70,10095
1744842818802,6C1DEBA3FFAC,-57,20,6,7,6C1DEBA09A70,10096
1744842818898,6C1DEBA3FFAC,-55,19,2,13,6C1DEBA09A70,10098
1744842818952,6C1DEBA3FFAC,-56,19,12,10,6C1DEBA09A70,10099
1744842819000,6C1DEBA3FFAC,-54,16,-19,34,6C1DEBA09A70,10100
1744842819048,6C1DEBA3FFAC,-54,18,-15,30,6C1DEBA09A70,10101
1744842819102,6C1DEBA3FFAC,-60,25,-1,17,6C1DEBA09A70,10102
1744842819150,6C1DEBA3FFAC,-60,16,11,3,6C1DEBA09A70,10103
1744842819198,6C1DEBA3FFAC,-70,23,19,0,6C1DEBA09A70,10104
1744842819252,6C1DEBA3FFAC,-56,19,-9,29,6C1DEBA09A70,10105
1744842819300,6C1DEBA3FFAC,-59,17,10,5,6C1DEBA09A70,10106
1744842819348,6C1DEBA3FFAC,-62,23,0,18,6C1DEBA09A70,10107
1744842819402,6C1DEBA3FFAC,-55,16,-18,34,6C1DEBA09A70,10108
1744842819450,6C1DEBA3FFAC,-68,17,10,22,6C1DEBA09A70,10109
1744842819503,6C1DEBA3FFAC,-53,24,-18,32,6C1DEBA09A70,10110
1744842819550,6C1DEBA3FFAC,-60,15,13,3,6C1DEBA09A70,10111
1744842819599,6C1DEBA3FFAC,-53,18,-31,35,6C1DEBA09A70,10112
1744842819653,6C1DEBA3FFAC,-56,24,-2,14,6C1DEBA09A70,10113
1744842819700,6C1DEBA3FFAC,-57,19,-11,29,6C1DEBA09A70,10114
1744842819753,6C1DEBA3FFAC,-58,14,-20,25,6C1DEBA09A70,10115
1744842819800,6C1DEBA3FFAC,-62,17,11,2,6C1DEBA09A70,10116
1744842819849,6C1DEBA3FFAC,-55,-25,33,36,6C1DEBA09A70,10117
1744842819902,6C1DEBA3FFAC,-55,20,7,11,6C1DEBA09A70,10118
1744842819949,6C1DEBA3FFAC,-57,20,-15,28,6C1DEBA09A70,10119
1744842819998,6C1DEBA3FFAC,-60,14,9,3,6C1DEBA09A70,10120
1744842820052,6C1DEBA3FFAC,-56,21,11,7,6C1DEBA09A70,10121
1744842820099,6C1DEBA3FFAC,-58,13,-24,25,6C1DEBA09A70,10122
1744842820153,6C1DEBA3FFAC,-53,19,-14,30,6C1DEBA09A70,10123
1744842820200,6C1DEBA3FFAC,-57,22,11,7,6C1DEBA09A70,10124
1744842820249,6C1DEBA3FFAC,-59,22,-3,16,6C1DEBA09A70,10125
1744842820303,6C1DEBA3FFAC,-53,25,-15,32,6C1DEBA09A70,10126
1744842820350,6C1DEBA3FFAC,-57,20,8,7,6C1DEBA09A70,10127
1744842820398,6C1DEBA3FFAC,-56,20,2,13,6C1DEBA09A70,10128
1744842820453,6C1DEBA3FFAC,-55,16,-14,30,6C1DEBA09A70,10129
1744842820548,6C1DEBA3FFAC,-66,21,7,20,6C1DEBA09A70,10131
1744842820603,6C1DEBA3FFAC,-57,23,-19,32,6C1DEBA09A70,10132
1744842820656,6C1DEBA3FFAC,-57,22,-2,14,6C1DEBA09A70,10133
1744842820702,6C1DEBA3FFAC,-57,75,77,35,6C1DEBA09A70,10134
1744842820750,6C1DEBA3FFAC,-56,21,8,13,6C1DEBA09A70,10135
1744842820803,6C1DEBA3FFAC,-57,17,-13,28,6C1DEBA09A70,10136
1744842820851,6C1DEBA3FFAC,-58,16,12,12,6C1DEBA09A70,10137
1744842820899,6C1DEBA3FFAC,-57,19,-17,27,6C1DEBA09A70,10138
1744842820952,6C1DEBA3FFAC,-59,16,7,6,6C1DEBA09A70,10139
1744842821000,6C1DEBA3FFAC,-55,20,17,9,6C1DEBA09A70,10140
1744842821048,6C1DEBA3FFAC,-70,16,-7,23,6C1DEBA09A70,10141
1744842821102,6C1DEBA3FFAC,-61,25,-3,17,6C1DEBA09A70,10142
1744842821150,6C1DEBA3FFAC,-66,16,11,1,6C1DEBA09A70,10143
1744842821198,6C1DEBA3FFAC,-56,19,7,11,6C1DEBA09A70,10144
1744842821252,6C1DEBA3FFAC,-63,24,0,18,6C1DEBA09A70,10145
1744842821300,6C1DEBA3FFAC,-57,18,10,8,6C1DEBA09A70,10146
1744842821348,6C1DEBA3FFAC,-53,23,-12,31,6C1DEBA09A70,10147
1744842821402,6C1DEBA3FFAC,-60,14,6,5,6C1DEBA09A70,10148
1744842821450,6C1DEBA3FFAC,-65,14,5,1,6C1DEBA09A70,10149
1744842821503,6C1DEBA3FFAC,-56,27,-7,32,6C1DEBA09A70,10150
1744842821550,6C1DEBA3FFAC,-61,16,8,4,6C1DEBA09A70,10151
1744842821599,6C1DEBA3FFAC,-61,15,5,4,6C1DEBA09A70,10152
1744842821653,6C1DEBA3FFAC,-54,23,-10,32,6C1DEBA09A70,10153
1744842821700,6C1DEBA3FFAC,-54,18,-14,34,6C1DEBA09A70,10154
1744842821753,6C1DEBA3FFAC,-53,21,-13,32,6C1DEBA09A70,10155
1744842821800,6C1DEBA3FFAC,-51,23,5,35,6C1DEBA09A70,10156
1744842821849,6C1DEBA3FFAC,-57,19,24,10,6C1DEBA09A70,10157
1744842821902,6C1DEBA3FFAC,-58,17,2,6,6C1DEBA09A70,10158
1744842821950,6C1DEBA3FFAC,-55,18,-10,27,6C1DEBA09A70,10159
1744842822003,6C1DEBA3FFAC,-59,22,-9,25,6C1DEBA09A70,10160
1744842822050,6C1DEBA3FFAC,-69,20,14,0,6C1DEBA09A70,10161
1744842822099,6C1DEBA3FFAC,-59,18,-13,25,6C1DEBA09A70,10162
1744842822152,6C1DEBA3FFAC,-52,27,-1,31,6C1DEBA09A70,10163
1744842822199,6C1DEBA3FFAC,-57,15,2,6,6C1DEBA09A70,10164
1744842822253,6C1DEBA3FFAC,-57,14,25,10,6C1DEBA09A70,10165
1744842822300,6C1DEBA3FFAC,-57,19,7,7,6C1DEBA09A70,10166
1744842822349,6C1DEBA3FFAC,-57,22,4,15,6C1DEBA09A70,10167
1744842822403,6C1DEBA3FFAC,-54,24,-11,29,6C1DEBA09A70,10168
1744842822450,6C1DEBA3FFAC,-55,22,-9,25,6C1DEBA09A70,10169
1744842822498,6C1DEBA3FFAC,-66,22,15,1,6C1DEBA09A70,10170
1744842822553,6C1DEBA3FFAC,-66,15,6,12,6C1DEBA09A70,10171
1744842822601,6C1DEBA3FFAC,-62,14,4,4,6C1DEBA09A70,10172
1744842822657,6C1DEBA3FFAC,-61,18,18,12,6C1DEBA09A70,10173
1744842822701,6C1DEBA3FFAC,-59,14,7,5,6C1DEBA09A70,10174
1744842822750,6C1DEBA3FFAC,-56,16,-16,27,6C1DEBA09A70,10175
1744842822804,6C1DEBA3FFAC,-56,20,16,8,6C1DEBA09A70,10176
1744842822851,6C1DEBA3FFAC,-63,23,-5,17,6C1DEBA09A70,10177
1744842822900,6C1DEBA3FFAC,-67,13,6,22,6C1DEBA09A70,10178
1744842822954,6C1DEBA3FFAC,-59,25,38,13,6C1DEBA09A70,10179
1744842823001,6C1DEBA3FFAC,-57,19,13,6,6C1DEBA09A70,10180
1744842823050,6C1DEBA3FFAC,-57,24,15,7,6C1DEBA09A70,10181
1744842823104,6C1DEBA3FFAC,-60,17,14,4,6C1DEBA09A70,10182
