Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1745272414533,6C1DEBA3FFAC,-68,29,2,17,6C1DEBA09949,64388
1745272414536,6C1DEBA3FFAC,-69,43,7,18,6C1DEBA09949,64389
1745272414538,6C1DEBA3FFAC,-65,36,0,3,6C1DEBA09949,64390
1745272414540,6C1DEBA3FFAC,-74,0,-9,12,6C1DEBA09949,64391
1745272414543,6C1DEBA3FFAC,-55,34,9,33,6C1DEBA09949,64392
1745272414545,6C1DEBA3FFAC,-67,42,0,4,6C1DEBA09949,64393
1745272414573,6C1DEBA3FFAC,-56,34,10,33,6C1DEBA09949,64394
1745272414576,6C1DEBA3FFAC,-61,-38,-8,23,6C1DEBA09949,64395
1745272414578,6C1DEBA3FFAC,-71,1,-9,13,6C1DEBA09949,64396
1745272414580,6C1DEBA3FFAC,-64,38,4,15,6C1DEBA09949,64397
1745272414583,6C1DEBA3FFAC,-57,35,-3,35,6C1DEBA09949,64398
1745272414588,6C1DEBA3FFAC,-56,34,9,33,6C1DEBA09949,64399
1745272414617,6C1DEBA3FFAC,-55,35,13,32,6C1DEBA09949,64400
1745272414620,6C1DEBA3FFAC,-57,37,-2,34,6C1DEBA09949,64402
1745272414625,6C1DEBA3FFAC,-56,37,19,32,6C1DEBA09949,65147
1745272414627,6C1DEBA3FFAC,-73,40,-1,6,6C1DEBA09949,65148
1745272414649,6C1DEBA3FFAC,-71,-6,-2,26,6C1DEBA09949,65149
1745272414695,6C1DEBA3FFAC,-55,30,0,36,6C1DEBA09949,65150
1745272414743,6C1DEBA3FFAC,-73,40,0,6,6C1DEBA09949,65151
1745272414792,6C1DEBA3FFAC,-61,-33,-6,23,6C1DEBA09949,65152
1745272414848,6C1DEBA3FFAC,-57,36,-5,34,6C1DEBA09949,65153
1745272414894,6C1DEBA3FFAC,-63,0,2,14,6C1DEBA09949,65154
1745272414943,6C1DEBA3FFAC,-62,40,4,15,6C1DEBA09949,65155
1745272415048,6C1DEBA3FFAC,-63,-2,2,14,6C1DEBA09949,65157
1745272415095,6C1DEBA3FFAC,-57,35,-5,34,6C1DEBA09949,65158
1745272415144,6C1DEBA3FFAC,-78,26,4,0,6C1DEBA09949,65159
1745272415198,6C1DEBA3FFAC,-63,-40,8,28,6C1DEBA09949,65160
1745272415245,6C1DEBA3FFAC,-75,26,-2,1,6C1DEBA09949,65161
1745272415294,6C1DEBA3FFAC,-56,-75,18,30,6C1DEBA09949,65162
1745272415349,6C1DEBA3FFAC,-61,-36,-6,23,6C1DEBA09949,65163
1745272415395,6C1DEBA3FFAC,-69,0,-10,12,6C1DEBA09949,65164
1745272415444,6C1DEBA3FFAC,-86,6,-3,10,6C1DEBA09949,65165
1745272415499,6C1DEBA3FFAC,-64,44,-6,21,6C1DEBA09949,65166
1745272415554,6C1DEBA3FFAC,-81,-8,0,27,6C1DEBA09949,65167
1745272415599,6C1DEBA3FFAC,-68,43,-2,4,6C1DEBA09949,65168
1745272415694,6C1DEBA3FFAC,-62,-43,-8,22,6C1DEBA09949,65170
1745272415749,6C1DEBA3FFAC,-55,41,16,31,6C1DEBA09949,65171
1745272415795,6C1DEBA3FFAC,-64,-24,-6,25,6C1DEBA09949,65172
1745272415844,6C1DEBA3FFAC,-75,26,-3,1,6C1DEBA09949,65173
1745272415899,6C1DEBA3FFAC,-55,40,17,31,6C1DEBA09949,65174
1745272415945,6C1DEBA3FFAC,-63,-1,1,14,6C1DEBA09949,65175
1745272415994,6C1DEBA3FFAC,-61,-32,-6,23,6C1DEBA09949,65176
1745272416049,6C1DEBA3FFAC,-71,-5,-1,8,6C1DEBA09949,65177
1745272416144,6C1DEBA3FFAC,-56,37,21,32,6C1DEBA09949,65179
1745272416199,6C1DEBA3FFAC,-63,2,1,14,6C1DEBA09949,65180
1745272416245,6C1DEBA3FFAC,-83,7,-3,10,6C1DEBA09949,65181
1745272416294,6C1DEBA3FFAC,-73,37,-1,6,6C1DEBA09949,65182
1745272416349,6C1DEBA3FFAC,-55,41,18,31,6C1DEBA09949,65183
1745272416395,6C1DEBA3FFAC,-57,34,-5,34,6C1DEBA09949,65184
1745272416444,6C1DEBA3FFAC,-63,0,0,14,6C1DEBA09949,65185
1745272416499,6C1DEBA3FFAC,-70,47,8,19,6C1DEBA09949,65186
1745272416554,6C1DEBA3FFAC,-71,17,-1,7,6C1DEBA09949,65187
1745272416599,6C1DEBA3FFAC,-73,40,0,6,6C1DEBA09949,65188
1745272416648,6C1DEBA3FFAC,-70,-1,-10,12,6C1DEBA09949,65189
1745272416695,6C1DEBA3FFAC,-70,-1,-10,12,6C1DEBA09949,65190
1745272416743,6C1DEBA3FFAC,-55,30,-1,36,6C1DEBA09949,65191
1745272416799,6C1DEBA3FFAC,-70,50,9,19,6C1DEBA09949,65192
1745272416845,6C1DEBA3FFAC,-72,-6,-1,8,6C1DEBA09949,65193
1745272416894,6C1DEBA3FFAC,-61,34,-6,23,6C1DEBA09949,65194
1745272416999,6C1DEBA3FFAC,-62,41,4,15,6C1DEBA09949,65196
1745272417045,6C1DEBA3FFAC,-71,-4,-1,8,6C1DEBA09949,65197
1745272417094,6C1DEBA3FFAC,-63,-36,6,28,6C1DEBA09949,65198
1745272417149,6C1DEBA3FFAC,-64,-26,-7,25,6C1DEBA09949,65199
1745272417195,6C1DEBA3FFAC,-57,35,-3,34,6C1DEBA09949,65200
1745272417244,6C1DEBA3FFAC,-81,0,-9,11,6C1DEBA09949,65201
1745272417299,6C1DEBA3FFAC,-83,6,-2,10,6C1DEBA09949,65202
1745272417345,6C1DEBA3FFAC,-81,40,0,5,6C1DEBA09949,65203
1745272417394,6C1DEBA3FFAC,-62,40,-9,22,6C1DEBA09949,65204
1745272417449,6C1DEBA3FFAC,-57,35,-3,34,6C1DEBA09949,65205
1745272417495,6C1DEBA3FFAC,-65,38,-1,3,6C1DEBA09949,65206
1745272417552,6C1DEBA3FFAC,-62,40,-9,22,6C1DEBA09949,65207
1745272417599,6C1DEBA3FFAC,-64,42,1,20,6C1DEBA09949,65208
1745272417645,6C1DEBA3FFAC,-57,36,-2,34,6C1DEBA09949,65209
1745272417694,6C1DEBA3FFAC,-61,36,-7,23,6C1DEBA09949,65210
1745272417749,6C1DEBA3FFAC,-64,43,-5,21,6C1DEBA09949,65211
1745272417844,6C1DEBA3FFAC,-61,-36,-7,23,6C1DEBA09949,65213
1745272417899,6C1DEBA3FFAC,-67,31,-6,2,6C1DEBA09949,65214
1745272417994,6C1DEBA3FFAC,-76,27,-2,1,6C1DEBA09949,65216
1745272418049,6C1DEBA3FFAC,-57,34,-2,35,6C1DEBA09949,65217
1745272418095,6C1DEBA3FFAC,-57,35,-2,34,6C1DEBA09949,65218
1745272418144,6C1DEBA3FFAC,-84,0,-9,11,6C1DEBA09949,65219
1745272418199,6C1DEBA3FFAC,-76,26,-2,1,6C1DEBA09949,65220
1745272418245,6C1DEBA3FFAC,-80,40,0,5,6C1DEBA09949,65221
1745272418349,6C1DEBA3FFAC,-55,30,0,36,6C1DEBA09949,65223
1745272418395,6C1DEBA3FFAC,-67,30,-6,2,6C1DEBA09949,65224
1745272418444,6C1DEBA3FFAC,-59,-70,19,29,6C1DEBA09949,65225
1745272418499,6C1DEBA3FFAC,-57,35,-1,34,6C1DEBA09949,65226
1745272418554,6C1DEBA3FFAC,-76,26,-2,1,6C1DEBA09949,65227
1745272418598,6C1DEBA3FFAC,-67,30,2,17,6C1DEBA09949,65228
1745272418645,6C1DEBA3FFAC,-64,-25,-6,25,6C1DEBA09949,65229
1745272418693,6C1DEBA3FFAC,-69,44,7,18,6C1DEBA09949,65230
1745272418749,6C1DEBA3FFAC,-73,1,-1,9,6C1DEBA09949,65231
1745272418796,6C1DEBA3FFAC,-76,27,-1,1,6C1DEBA09949,65232
1745272418844,6C1DEBA3FFAC,-77,27,5,0,6C1DEBA09949,65233
1745272418899,6C1DEBA3FFAC,-78,-8,1,27,6C1DEBA09949,65234
1745272418946,6C1DEBA3FFAC,-74,1,-1,9,6C1DEBA09949,65235
