Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1745274911509,6C1DEBA3FFAC,-62,-21,-11,8,CCF9579B236F,34864
1745274911510,6C1DEBA3FFAC,-62,2,-8,7,CCF9579B236F,34865
1745274911511,6C1DEBA3FFAC,-69,-22,12,20,CCF9579B236F,34866
1745274911511,6C1DEBA3FFAC,-59,-28,3,28,CCF9579B236F,34867
1745274911511,6C1DEBA3FFAC,-62,-19,-11,8,CCF9579B236F,34869
1745274911512,6C1DEBA3FFAC,-69,-13,63,17,CCF9579B236F,34870
1745274911553,6C1DEBA3FFAC,-64,2,-9,5,CCF9579B236F,34871
1745274911554,6C1DEBA3FFAC,-57,-22,-6,35,CCF9579B236F,34872
1745274911554,6C1DEBA3FFAC,-68,-9,-10,14,CCF9579B236F,34873
1745274911554,6C1DEBA3FFAC,-66,-20,-16,11,CCF9579B236F,34874
1745274911555,6C1DEBA3FFAC,-74,10,8,24,CCF9579B236F,34875
1745274911555,6C1DEBA3FFAC,-69,-11,-16,15,CCF9579B236F,34876
1745274911556,6C1DEBA3FFAC,-69,-21,11,20,CCF9579B236F,34877
1745274911596,6C1DEBA3FFAC,-66,-23,-11,10,CCF9579B236F,34878
1745274911596,6C1DEBA3FFAC,-69,-22,12,20,CCF9579B236F,34879
1745274911597,6C1DEBA3FFAC,-61,37,-3,27,CCF9579B236F,37091
1745274911598,6C1DEBA3FFAC,-60,46,7,5,CCF9579B236F,37092
1745274911628,6C1DEBA3FFAC,-62,66,7,34,CCF9579B236F,37093
1745274911676,6C1DEBA3FFAC,-61,49,5,36,CCF9579B236F,37094
1745274911724,6C1DEBA3FFAC,-61,61,26,4,CCF9579B236F,37095
1745274911777,6C1DEBA3FFAC,-62,34,-2,26,CCF9579B236F,37096
1745274911825,6C1DEBA3FFAC,-64,45,1,7,CCF9579B236F,37097
1745274911878,6C1DEBA3FFAC,-62,38,20,13,CCF9579B236F,37098
1745274911926,6C1DEBA3FFAC,-72,58,24,30,CCF9579B236F,37099
1745274911974,6C1DEBA3FFAC,-62,67,6,34,CCF9579B236F,37100
1745274912027,6C1DEBA3FFAC,-69,43,2,8,CCF9579B236F,37101
1745274912075,6C1DEBA3FFAC,-62,34,-2,26,CCF9579B236F,37102
1745274912128,6C1DEBA3FFAC,-58,63,36,17,CCF9579B236F,37103
1745274912176,6C1DEBA3FFAC,-72,24,-23,22,CCF9579B236F,37104
1745274912224,6C1DEBA3FFAC,-61,61,25,4,CCF9579B236F,37105
1745274912277,6C1DEBA3FFAC,-62,46,3,6,CCF9579B236F,37106
1745274912325,6C1DEBA3FFAC,-62,36,-20,21,CCF9579B236F,37107
1745274912378,6C1DEBA3FFAC,-61,66,22,32,CCF9579B236F,37108
1745274912426,6C1DEBA3FFAC,-62,66,6,34,CCF9579B236F,37109
1745274912474,6C1DEBA3FFAC,-64,34,9,12,CCF9579B236F,37110
1745274912527,6C1DEBA3FFAC,-65,33,-6,28,CCF9579B236F,37111
1745274912575,6C1DEBA3FFAC,-66,33,-6,28,CCF9579B236F,37112
1745274912628,6C1DEBA3FFAC,-64,42,5,9,CCF9579B236F,37113
1745274912675,6C1DEBA3FFAC,-61,47,6,36,CCF9579B236F,37114
1745274912724,6C1DEBA3FFAC,-65,34,-3,25,CCF9579B236F,37115
1745274912778,6C1DEBA3FFAC,-61,56,3,35,CCF9579B236F,37116
1745274912825,6C1DEBA3FFAC,-61,71,17,33,CCF9579B236F,37117
1745274912874,6C1DEBA3FFAC,-60,35,-21,20,CCF9579B236F,37118
1745274912978,6C1DEBA3FFAC,-61,59,24,4,CCF9579B236F,37120
1745274913025,6C1DEBA3FFAC,-67,46,9,0,CCF9579B236F,37121
