Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1745274097412,6C1DEBA3FFAC,-60,34,-29,3,CCF9579B236F,20471
1745274097412,6C1DEBA3FFAC,-60,44,-5,22,CCF9579B236F,20472
1745274097412,6C1DEBA3FFAC,-64,56,19,31,CCF9579B236F,20473
1745274097413,6C1DEBA3FFAC,-60,37,-8,21,CCF9579B236F,20474
1745274097413,6C1DEBA3FFAC,-67,70,31,15,CCF9579B236F,20475
1745274097414,6C1DEBA3FFAC,-64,54,19,31,CCF9579B236F,20476
1745274097456,6C1DEBA3FFAC,-67,-44,17,9,CCF9579B236F,20477
1745274097456,6C1DEBA3FFAC,-60,32,-29,3,CCF9579B236F,20478
1745274097456,6C1DEBA3FFAC,-65,-48,21,8,CCF9579B236F,20480
1745274097456,6C1DEBA3FFAC,-72,56,24,17,CCF9579B236F,20481
1745274097457,6C1DEBA3FFAC,-64,55,19,31,CCF9579B236F,20482
1745274097457,6C1DEBA3FFAC,-60,38,-9,21,CCF9579B236F,20483
1745274097457,6C1DEBA3FFAC,-60,38,-22,2,CCF9579B236F,20484
1745274097498,6C1DEBA3FFAC,-67,69,32,15,CCF9579B236F,20485
1745274097499,6C1DEBA3FFAC,-73,-5,1,11,CCF9579B236F,20486
1745274097499,6C1DEBA3FFAC,-71,58,25,17,CCF9579B236F,20813
1745274097499,6C1DEBA3FFAC,-62,50,5,25,CCF9579B236F,20814
1745274097523,6C1DEBA3FFAC,-60,43,-22,1,CCF9579B236F,20815
1745274097571,6C1DEBA3FFAC,-62,-55,22,7,CCF9579B236F,20816
1745274097619,6C1DEBA3FFAC,-60,31,4,20,CCF9579B236F,20817
1745274097673,6C1DEBA3FFAC,-60,35,-29,3,CCF9579B236F,20818
1745274097721,6C1DEBA3FFAC,-59,48,13,28,CCF9579B236F,20819
1745274097823,6C1DEBA3FFAC,-61,41,4,26,CCF9579B236F,20821
1745274097871,6C1DEBA3FFAC,-60,-74,28,5,CCF9579B236F,20822
1745274097919,6C1DEBA3FFAC,-66,46,23,33,CCF9579B236F,20823
1745274097973,6C1DEBA3FFAC,-72,51,21,32,CCF9579B236F,20824
1745274098021,6C1DEBA3FFAC,-60,37,-9,21,CCF9579B236F,20825
1745274098069,6C1DEBA3FFAC,-69,-24,10,13,CCF9579B236F,20826
1745274098123,6C1DEBA3FFAC,-62,39,12,36,CCF9579B236F,20827
1745274098171,6C1DEBA3FFAC,-59,30,5,27,CCF9579B236F,20828
1745274098219,6C1DEBA3FFAC,-62,-52,22,7,CCF9579B236F,20829
1745274098273,6C1DEBA3FFAC,-59,36,-9,21,CCF9579B236F,20830
1745274098321,6C1DEBA3FFAC,-66,51,18,18,CCF9579B236F,20831
1745274098369,6C1DEBA3FFAC,-71,61,27,16,CCF9579B236F,20832
1745274098422,6C1DEBA3FFAC,-62,39,12,36,CCF9579B236F,20833
1745274098470,6C1DEBA3FFAC,-59,32,5,27,CCF9579B236F,20834
1745274098523,6C1DEBA3FFAC,-58,46,12,28,CCF9579B236F,20835
1745274098571,6C1DEBA3FFAC,-68,68,32,15,CCF9579B236F,20836
1745274098619,6C1DEBA3FFAC,-67,-44,17,9,CCF9579B236F,20837
1745274098673,6C1DEBA3FFAC,-59,58,24,29,CCF9579B236F,20838
1745274098721,6C1DEBA3FFAC,-62,51,4,25,CCF9579B236F,20839
1745274098769,6C1DEBA3FFAC,-74,25,2,12,CCF9579B236F,20840
