Timestamp,Tag,RSSI,Azimuth,Elevation,Channel,Anchor,Sequence
1745272096683,6C1DEBA3FFAC,-57,-32,-26,35,6C1DEBA09A70,59301
1745272096936,6C1DEBA3FFAC,-64,-38,38,7,6C1DEBA09A70,59302
1745272097182,6C1DEBA3FFAC,-60,-14,-14,22,6C1DEBA09A70,59303
1745272097433,6C1DEBA3FFAC,-64,-35,27,6,6C1DEBA09A70,59304
1745272097682,6C1DEBA3FFAC,-56,-35,-28,35,6C1DEBA09A70,59305
1745272097936,6C1DEBA3FFAC,-69,-50,43,17,6C1DEBA09A70,59306
1745272098183,6C1DEBA3FFAC,-62,-10,-15,21,6C1DEBA09A70,59307
1745272098432,6C1DEBA3FFAC,-62,-30,36,10,6C1DEBA09A70,59308
1745272098682,6C1DEBA3FFAC,-62,-15,-19,21,6C1DEBA09A70,59309
1745272098936,6C1DEBA3FFAC,-65,-37,14,4,6C1DEBA09A70,59310
1745272099182,6C1DEBA3FFAC,-62,-14,-18,21,6C1DEBA09A70,59311
1745272099433,6C1DEBA3FFAC,-58,-15,-14,23,6C1DEBA09A70,59312
1745272099683,6C1DEBA3FFAC,-65,-66,49,12,6C1DEBA09A70,59313
1745272099936,6C1DEBA3FFAC,-66,-40,23,6,6C1DEBA09A70,59314
1745272100182,6C1DEBA3FFAC,-61,-50,9,28,6C1DEBA09A70,59315
1745272100433,6C1DEBA3FFAC,-67,-50,31,13,6C1DEBA09A70,59316
1745272100683,6C1DEBA3FFAC,-64,-75,55,12,6C1DEBA09A70,59317
1745272100936,6C1DEBA3FFAC,-62,-42,-6,27,6C1DEBA09A70,59318
1745272101183,6C1DEBA3FFAC,-71,-44,37,16,6C1DEBA09A70,59319
1745272101432,6C1DEBA3FFAC,-73,-48,-53,19,6C1DEBA09A70,59320
1745272101685,6C1DEBA3FFAC,-59,-43,-22,29,6C1DEBA09A70,59321
1745272101941,6C1DEBA3FFAC,-65,-43,14,5,6C1DEBA09A70,59322
1745272102185,6C1DEBA3FFAC,-63,-56,44,12,6C1DEBA09A70,59323
1745272102435,6C1DEBA3FFAC,-58,-36,-32,36,6C1DEBA09A70,59324
1745272102685,6C1DEBA3FFAC,-59,-46,-32,32,6C1DEBA09A70,59325
1745272102942,6C1DEBA3FFAC,-63,-75,53,11,6C1DEBA09A70,59326
1745272103186,6C1DEBA3FFAC,-63,-75,53,12,6C1DEBA09A70,59327
1745272103435,6C1DEBA3FFAC,-65,-27,22,9,6C1DEBA09A70,59328
1745272103685,6C1DEBA3FFAC,-63,-17,-17,24,6C1DEBA09A70,59329
1745272103941,6C1DEBA3FFAC,-58,-44,-18,30,6C1DEBA09A70,59330
1745272104185,6C1DEBA3FFAC,-63,-23,-34,20,6C1DEBA09A70,59331
1745272104435,6C1DEBA3FFAC,-66,-41,9,1,6C1DEBA09A70,59332
1745272104686,6C1DEBA3FFAC,-64,-41,36,6,6C1DEBA09A70,59333
1745272104941,6C1DEBA3FFAC,-70,-43,23,3,6C1DEBA09A70,59334
1745272105185,6C1DEBA3FFAC,-62,-59,62,11,6C1DEBA09A70,59335
1745272105435,6C1DEBA3FFAC,-65,-42,20,2,6C1DEBA09A70,59336
1745272105685,6C1DEBA3FFAC,-65,-50,30,16,6C1DEBA09A70,59337
1745272105942,6C1DEBA3FFAC,-56,-9,-11,22,6C1DEBA09A70,59338
1745272106186,6C1DEBA3FFAC,-71,-54,-52,19,6C1DEBA09A70,59339
1745272106435,6C1DEBA3FFAC,-61,-33,-23,12,6C1DEBA09A70,59340
1745272106685,6C1DEBA3FFAC,-69,-46,13,2,6C1DEBA09A70,59341
1745272106942,6C1DEBA3FFAC,-73,-70,-61,19,6C1DEBA09A70,59342
1745272107186,6C1DEBA3FFAC,-63,-75,52,12,6C1DEBA09A70,59343
1745272107436,6C1DEBA3FFAC,-56,-38,-26,34,6C1DEBA09A70,59344
1745272107685,6C1DEBA3FFAC,-66,-40,14,5,6C1DEBA09A70,59345
1745272107941,6C1DEBA3FFAC,-58,-18,-12,23,6C1DEBA09A70,59346
1745272108185,6C1DEBA3FFAC,-62,-16,-18,21,6C1DEBA09A70,59347
1745272108435,6C1DEBA3FFAC,-62,-18,-20,21,6C1DEBA09A70,59348
1745272108685,6C1DEBA3FFAC,-66,-51,10,2,6C1DEBA09A70,59349
1745272108941,6C1DEBA3FFAC,-57,-56,-39,32,6C1DEBA09A70,59350
1745272109185,6C1DEBA3FFAC,-67,-35,12,4,6C1DEBA09A70,59351
1745272109435,6C1DEBA3FFAC,-67,-17,-16,24,6C1DEBA09A70,59352
1745272109685,6C1DEBA3FFAC,-57,-31,-25,35,6C1DEBA09A70,59353
1745272109942,6C1DEBA3FFAC,-64,-16,-16,24,6C1DEBA09A70,59354
1745272110186,6C1DEBA3FFAC,-67,-27,6,0,6C1DEBA09A70,59355
1745272110435,6C1DEBA3FFAC,-62,-45,10,28,6C1DEBA09A70,59356
1745272110685,6C1DEBA3FFAC,-63,-25,31,9,6C1DEBA09A70,59357
1745272110942,6C1DEBA3FFAC,-57,-39,-31,33,6C1DEBA09A70,59358
1745272111186,6C1DEBA3FFAC,-72,-49,42,17,6C1DEBA09A70,59359
1745272111436,6C1DEBA3FFAC,-60,-13,-12,22,6C1DEBA09A70,59360
1745272111686,6C1DEBA3FFAC,-59,-45,-23,30,6C1DEBA09A70,59361
1745272111941,6C1DEBA3FFAC,-63,-75,54,11,6C1DEBA09A70,59362
1745272112185,6C1DEBA3FFAC,-66,-44,32,13,6C1DEBA09A70,59363
1745272112435,6C1DEBA3FFAC,-70,-49,-53,19,6C1DEBA09A70,59364
1745272112685,6C1DEBA3FFAC,-70,-49,-52,19,6C1DEBA09A70,59365
1745272112941,6C1DEBA3FFAC,-71,-50,44,17,6C1DEBA09A70,59366
1745272113185,6C1DEBA3FFAC,-60,-42,-18,29,6C1DEBA09A70,59367
1745272113435,6C1DEBA3FFAC,-61,-42,3,28,6C1DEBA09A70,59368
1745272113685,6C1DEBA3FFAC,-60,-13,-18,21,6C1DEBA09A70,59369
1745272113942,6C1DEBA3FFAC,-57,-33,-26,35,6C1DEBA09A70,59370
1745272114186,6C1DEBA3FFAC,-70,-48,-52,19,6C1DEBA09A70,59371
1745272114436,6C1DEBA3FFAC,-57,-31,-25,35,6C1DEBA09A70,59372
1745272114685,6C1DEBA3FFAC,-58,-50,-37,32,6C1DEBA09A70,59373
1745272114941,6C1DEBA3FFAC,-68,-28,5,0,6C1DEBA09A70,59374
1745272115185,6C1DEBA3FFAC,-62,-31,36,10,6C1DEBA09A70,59375
1745272115435,6C1DEBA3FFAC,-63,-75,55,11,6C1DEBA09A70,59376
1745272115938,6C1DEBA3FFAC,-63,-58,47,12,6C1DEBA09A70,59378
1745272116436,6C1DEBA3FFAC,-57,-35,-26,34,6C1DEBA09A70,59380
1745272116685,6C1DEBA3FFAC,-67,-47,6,1,6C1DEBA09A70,59381
1745272116942,6C1DEBA3FFAC,-61,-13,-17,21,6C1DEBA09A70,59382
1745272117185,6C1DEBA3FFAC,-67,-45,6,1,6C1DEBA09A70,59383
1745272117436,6C1DEBA3FFAC,-59,-43,-20,30,6C1DEBA09A70,59384
1745272117685,6C1DEBA3FFAC,-75,-61,54,18,6C1DEBA09A70,59385
1745272117942,6C1DEBA3FFAC,-65,-30,38,8,6C1DEBA09A70,59386
1745272118185,6C1DEBA3FFAC,-60,-17,-14,23,6C1DEBA09A70,59387
1745272118435,6C1DEBA3FFAC,-66,-37,14,4,6C1DEBA09A70,59388
1745272118686,6C1DEBA3FFAC,-65,-31,37,8,6C1DEBA09A70,59389
1745272118941,6C1DEBA3FFAC,-66,-52,12,2,6C1DEBA09A70,59390
1745272119185,6C1DEBA3FFAC,-69,-48,42,17,6C1DEBA09A70,59391
1745272119435,6C1DEBA3FFAC,-64,-38,37,7,6C1DEBA09A70,59392
1745272119685,6C1DEBA3FFAC,-66,-51,11,2,6C1DEBA09A70,59393
1745272119942,6C1DEBA3FFAC,-66,-47,8,1,6C1DEBA09A70,59394
1745272120186,6C1DEBA3FFAC,-57,-34,-24,34,6C1DEBA09A70,59395
1745272120436,6C1DEBA3FFAC,-61,-30,29,9,6C1DEBA09A70,59396
