StartTimeISO,StartTimestamp,EndTimeISO,EndTimestamp,X,Y,Z
2025-04-21T22:24:47.460,1745274287460,,,90,540,140
2025-04-21T22:24:52.127,1745274292127,2025-04-21T22:24:59.167,1745274299167.0,90,225,140
2025-04-21T22:25:01.502,1745274301502,,,90,90,140
2025-04-21T22:25:03.835,1745274303835,2025-04-21T22:25:09.660,1745274309660.0,225,90,140
2025-04-21T22:25:11.994,1745274311994,,,315,90,140
2025-04-21T22:25:14.925,1745274314925,2025-04-21T22:25:22.531,1745274322531.0,315,315,140
2025-04-21T22:25:26.026,1745274326026,,,315,540,140
2025-04-21T22:25:28.361,1745274328361,2025-04-21T22:25:34.197,1745274334197.0,450,540,140
2025-04-21T22:25:35.960,1745274335960,,,540,540,140
2025-04-21T22:25:39.461,1745274339461,2025-04-21T22:25:43.560,1745274343560.0,540,315,140
2025-04-21T22:25:47.059,1745274347059,,,540,90,140
