Time_Bucket,X_Real,Y_Real,1_Timestamp,1_RSSI,1_Azimuth,1_Elevation,1_Channel,1_Sequence,1_Azimuth_Var,1_Azimuth_Real,2_Timestamp,2_RSSI,2_Azimuth,2_Elevation,2_Channel,2_Sequence,2_Azimuth_Var,2_Azimuth_Real,3_Timestamp,3_RSSI,3_Azimuth,3_Elevation,3_Channel,3_Sequence,3_Azimuth_Var,3_Azimuth_Real,4_Timestamp,4_RSSI,4_Azimuth,4_Elevation,4_Channel,4_Sequence,4_Azimuth_Var,4_Azimuth_Real
5,90,488.6418626,205,-57.66666667,0.666666667,2,25,21684,0.333333333,12.51587875,205,-61.8,47,3,24.6,21685,108.5,30.12679946,205,-72,-14.5,-5.5,15.25,21682.5,147,-2.85829612,205,-67.5,-28.25,18.5,15.25,21682.5,2039.583333,-34.56399607
6,90,476.3159096,206,-58,-1,-0.4,23.8,21688,1.5,14.64603941,206,-61.75,49.75,8.75,21,21689.5,284.9166667,29.06324105,206,-72.66666667,-11.66666667,1.333333333,23,21686,174.3333333,-3.463204158,206,-65,-47.5,23,22.25,21686.5,877.6666667,-34.34499154
7,90,464.6747318,207,-62.66666667,-0.333333333,0.333333333,25.33333333,21692.33333,1.333333333,16.43694981,207,-63.5,31,9.75,18.25,21693.5,403.3333333,28.06069161,207,-66.66666667,-6,-19.33333333,22,21691,76,-4.079642488,207,-65.75,-24.5,13,25,21690.5,389.6666667,-34.11671128
8,90,457.8269801,208,-69,0,1,19,21696,0,17.4025821,208,-66.5,39.5,-2.25,22.25,21697.5,190.3333333,27.0687143,208,-69,-14.75,-20.25,15.25,21694.5,57.58333333,-4.707797107,208,-66,-29.25,4.5,15.25,21694.5,97.58333333,-33.87856096
9,90,445.5010272,209,-63,1,1.2,16.6,21700,2,18.99652846,209,-65,40.66666667,1.333333333,14.33333333,21701,65.33333333,26.33192246,209,-70.5,-11,-19,19,21698.5,180.6666667,-5.347849881,209,-63.2,-15.6,5.6,20.2,21699,184.3,-33.57883937
10,90,434.7158183,210,-60.25,-2.5,-1.75,24.5,21704.5,4.333333333,20.25659186,210,-60.8,52,9.2,20.8,21705,220,25.16632078,210,-69.5,-18.25,-6.75,17.5,21702.5,17.58333333,-5.999977748,210,-68,-39.66666667,16.33333333,15,21703,32.33333333,-33.37001159
11,90,427.0120977,211,-63.33333333,-0.333333333,4.333333333,16.33333333,21708,0.333333333,21.08864249,211,-62.75,42.5,2,16.75,21709.5,107,24.16022728,211,-67.25,-6.75,-11.25,22,21706.5,341.5833333,-6.664351869,211,-62.25,-29.75,31,22,21706.5,198.25,-33.09814523
12,90,414.6861447,212,-60,-0.4,3.6,16.8,21712,0.3,22.31534236,212,-62.75,46.5,9,18,21713.5,79,23.21437634,212,-64.5,-9,-6.5,12.75,21710.5,43.33333333,-7.341136719,212,-65.5,-42,26.5,12.75,21710.5,116.6666667,-32.81346085
13,90,403.9009359,213,-66.25,-0.25,1,22.5,21716.5,2.916666667,23.29469414,213,-66,38.33333333,3.666666667,22,21717.33333,462.3333333,22.20361277,213,-67.25,-16.75,15.75,23.5,21714.5,1624.25,-8.030489119,213,-68.25,-42.5,21.25,23.5,21714.5,118.3333333,-32.51504516
14,90,393.6293084,214,-58.5,1.25,0.5,20.5,21720.5,2.25,24.15527508,214,-59.5,34.5,1,32.5,21721,112.5,21.58892663,214,-70.25,-41.75,5.25,24.25,21718.5,900.9166667,-8.732557213,214,-64.5,-46.75,9,24.25,21718.5,104.25,-32.20189757
